Tarih,TP_UNDNAKLIYE_YIH_PL_ADET
2016-08-01,1111.0
2016-09-01,1033.0
2016-10-01,1585.0
2016-11-01,1445.0
2016-12-01,1330.0
2017-01-01,1152.0
2017-02-01,1384.0
2017-03-01,1612.0
2017-04-01,1334.0
2017-05-01,1213.0
2017-06-01,1245.0
2017-07-01,1177.0
2017-08-01,1420.0
2017-09-01,1330.0
2017-10-01,1635.0
2017-11-01,1608.0
2017-12-01,1512.0
2018-01-01,1414.0
2018-02-01,1489.0
2018-03-01,1727.0
2018-04-01,1353.0
2018-05-01,1446.0
2018-06-01,1277.0
2018-07-01,1379.0
2018-08-01,1143.0
2018-09-01,1533.0
2018-10-01,1640.0
2018-11-01,1596.0
2018-12-01,1326.0
2019-01-01,1330.0
2019-02-01,1466.0
2019-03-01,1535.0
2019-04-01,1383.0
2019-05-01,1352.0
2019-06-01,1217.0
2019-07-01,1397.0
2019-08-01,1257.0
2019-09-01,1494.0
2019-10-01,1680.0
2019-11-01,1676.0
2019-12-01,1539.0
2020-01-01,1433.0
2020-02-01,1790.0
2020-03-01,1430.0
2020-04-01,630.0
2020-05-01,1049.0
2020-06-01,1323.0
2020-07-01,1507.0
2020-08-01,1492.0
2020-09-01,1808.0
2020-10-01,2052.0
2020-11-01,1972.0
2020-12-01,1872.0
2021-01-01,1757.0
2021-02-01,1991.0
2021-03-01,2215.0
2021-04-01,1995.0
2021-05-01,1933.0
2021-06-01,1871.0
2021-07-01,1705.0
2021-08-01,1917.0
2021-09-01,1945.0
2021-10-01,2390.0
2021-11-01,2302.0
2021-12-01,2217.0
2022-01-01,2116.0
2022-02-01,2277.0
2022-03-01,2398.0
2022-04-01,2273.0
2022-05-01,2045.0
2022-06-01,2064.0
2022-07-01,1623.0
2022-08-01,1714.0
2022-09-01,1856.0
2022-10-01,2005.0
2022-11-01,1774.0
2022-12-01,1747.0
2023-01-01,1792.0
2023-02-01,1969.0
2023-03-01,2180.0
2023-04-01,1738.0
2023-05-01,1713.0
2023-06-01,1812.0
2023-07-01,1556.0
2023-08-01,1674.0
2023-09-01,1933.0
2023-10-01,2352.0
2023-11-01,2256.0
2023-12-01,2031.0
2024-01-01,1998.0
2024-02-01,2099.0
2024-03-01,2307.0
2024-04-01,1712.0
2024-05-01,2006.0
2024-06-01,1921.0
2024-07-01,1884.0
2024-08-01,1789.0
2024-09-01,1999.0
2024-10-01,2245.0
2024-11-01,2105.0
2024-12-01,1987.0
2025-01-01,1923.0
2025-02-01,2082.0
2025-03-01,2240.0
2025-04-01,1921.0
2025-05-01,2045.0
2025-06-01,1865.0
2025-07-01,1943.0
2025-08-01,1952.0
2025-09-01,2115.0
