Tarih,TP_UNDNAKLIYE_YIH_CT_ADET
2016-05-01,1740.0
2016-06-01,1697.0
2016-07-01,1095.0
2016-08-01,1790.0
2016-09-01,1421.0
2016-10-01,1953.0
2016-11-01,1899.0
2016-12-01,1822.0
2017-01-01,1651.0
2017-02-01,1853.0
2017-03-01,2143.0
2017-04-01,1909.0
2017-05-01,2035.0
2017-06-01,1790.0
2017-07-01,1872.0
2017-08-01,1949.0
2017-09-01,1783.0
2017-10-01,2221.0
2017-11-01,2040.0
2017-12-01,1961.0
2018-01-01,1825.0
2018-02-01,1809.0
2018-03-01,2289.0
2018-04-01,2070.0
2018-05-01,2400.0
2018-06-01,1917.0
2018-07-01,2037.0
2018-08-01,1631.0
2018-09-01,2206.0
2018-10-01,2115.0
2018-11-01,2023.0
2018-12-01,1761.0
2019-01-01,1606.0
2019-02-01,1594.0
2019-03-01,2195.0
2019-04-01,2054.0
2019-05-01,2251.0
2019-06-01,1420.0
2019-07-01,1915.0
2019-08-01,1587.0
2019-09-01,1973.0
2019-10-01,2127.0
2019-11-01,2101.0
2019-12-01,2054.0
2020-01-01,1380.0
2020-02-01,2011.0
2020-03-01,1617.0
2020-04-01,1216.0
2020-05-01,1337.0
2020-06-01,1794.0
2020-07-01,1896.0
2020-08-01,1784.0
2020-09-01,2126.0
2020-10-01,2324.0
2020-11-01,2222.0
2020-12-01,2172.0
2021-01-01,1780.0
2021-02-01,1550.0
2021-03-01,2298.0
2021-04-01,2265.0
2021-05-01,2040.0
2021-06-01,2321.0
2021-07-01,1787.0
2021-08-01,2359.0
2021-09-01,2446.0
2021-10-01,2602.0
2021-11-01,2551.0
2021-12-01,2699.0
2022-01-01,2012.0
2022-02-01,2434.0
2022-03-01,2758.0
2022-04-01,2663.0
2022-05-01,2295.0
2022-06-01,2565.0
2022-07-01,1825.0
2022-08-01,2478.0
2022-09-01,2515.0
2022-10-01,2603.0
2022-11-01,2380.0
2022-12-01,2491.0
2023-01-01,2315.0
2023-02-01,2301.0
2023-03-01,2760.0
2023-04-01,2382.0
2023-05-01,2683.0
2023-06-01,2536.0
2023-07-01,2460.0
2023-08-01,2829.0
2023-09-01,2876.0
2023-10-01,3071.0
2023-11-01,2784.0
2023-12-01,2972.0
2024-01-01,2532.0
2024-02-01,3037.0
2024-03-01,3004.0
2024-04-01,2503.0
2024-05-01,3222.0
2024-06-01,2546.0
2024-07-01,3199.0
2024-08-01,3160.0
2024-09-01,3170.0
2024-10-01,3254.0
2024-11-01,3260.0
2024-12-01,3306.0
2025-01-01,2921.0
2025-02-01,2771.0
2025-03-01,2959.0
2025-04-01,3154.0
2025-05-01,3447.0
2025-06-01,2878.0
2025-07-01,3365.0
2025-08-01,3198.0
2025-09-01,3269.0
