Tarih,TP_UNDNAKLIYE_YIH_BY_ADET
2016-10-01,528.0
2016-11-01,725.0
2016-12-01,825.0
2017-01-01,333.0
2017-02-01,511.0
2017-03-01,840.0
2017-04-01,412.0
2017-05-01,204.0
2017-06-01,163.0
2017-07-01,135.0
2017-08-01,223.0
2017-09-01,294.0
2017-10-01,470.0
2017-11-01,524.0
2017-12-01,653.0
2018-01-01,397.0
2018-02-01,472.0
2018-03-01,521.0
2018-04-01,410.0
2018-05-01,343.0
2018-06-01,219.0
2018-07-01,284.0
2018-08-01,319.0
2018-09-01,410.0
2018-10-01,384.0
2018-11-01,371.0
2018-12-01,426.0
2019-01-01,284.0
2019-02-01,341.0
2019-03-01,426.0
2019-04-01,359.0
2019-05-01,301.0
2019-06-01,216.0
2019-07-01,227.0
2019-08-01,265.0
2019-09-01,422.0
2019-10-01,655.0
2019-11-01,544.0
2019-12-01,659.0
2020-01-01,406.0
2020-02-01,644.0
2020-03-01,559.0
2020-04-01,212.0
2020-05-01,239.0
2020-06-01,262.0
2020-07-01,313.0
2020-08-01,520.0
2020-09-01,687.0
2020-10-01,741.0
2020-11-01,636.0
2020-12-01,743.0
2021-01-01,560.0
2021-02-01,627.0
2021-03-01,591.0
2021-04-01,400.0
2021-05-01,513.0
2021-06-01,656.0
2021-07-01,595.0
2021-08-01,792.0
2021-09-01,832.0
2021-10-01,922.0
2021-11-01,837.0
2021-12-01,1209.0
2022-01-01,674.0
2022-02-01,773.0
2022-03-01,293.0
2022-04-01,498.0
2022-05-01,622.0
2022-06-01,607.0
2022-07-01,750.0
2022-08-01,954.0
2022-09-01,987.0
2022-10-01,1008.0
2022-11-01,983.0
2022-12-01,830.0
2023-01-01,820.0
2023-02-01,823.0
2023-03-01,1105.0
2023-04-01,1026.0
2023-05-01,985.0
2023-06-01,1049.0
2023-07-01,662.0
2023-08-01,923.0
2023-09-01,975.0
2023-10-01,1040.0
2023-11-01,917.0
2023-12-01,965.0
2024-01-01,742.0
2024-02-01,893.0
2024-03-01,867.0
2024-04-01,730.0
2024-05-01,788.0
2024-06-01,780.0
2024-07-01,716.0
2024-08-01,820.0
2024-09-01,921.0
2024-10-01,876.0
2024-11-01,790.0
2024-12-01,752.0
2025-01-01,486.0
2025-02-01,682.0
2025-03-01,799.0
2025-04-01,601.0
2025-05-01,660.0
2025-06-01,626.0
2025-07-01,549.0
2025-08-01,701.0
2025-09-01,646.0
