Tarih,TP_UNDNAKLIYE_YIH_TOPLAM_ADET
2016-05-01,27002.0
2016-06-01,27000.0
2016-07-01,22287.0
2016-08-01,23936.0
2016-09-01,22926.0
2016-10-01,29155.0
2016-11-01,29185.0
2016-12-01,26297.0
2017-01-01,21019.0
2017-02-01,24514.0
2017-03-01,29709.0
2017-04-01,28044.0
2017-05-01,27828.0
2017-06-01,27202.0
2017-07-01,26629.0
2017-08-01,29336.0
2017-09-01,25328.0
2017-10-01,32621.0
2017-11-01,31131.0
2017-12-01,31642.0
2018-01-01,25611.0
2018-02-01,27593.0
2018-03-01,32748.0
2018-04-01,29468.0
2018-05-01,31855.0
2018-06-01,28385.0
2018-07-01,28631.0
2018-08-01,23946.0
2018-09-01,29379.0
2018-10-01,31847.0
2018-11-01,31862.0
2018-12-01,29922.0
2019-01-01,24164.0
2019-02-01,27183.0
2019-03-01,36450.0
2019-04-01,29111.0
2019-05-01,32175.0
2019-06-01,28776.0
2019-07-01,31980.0
2019-08-01,27594.0
2019-09-01,31450.0
2019-10-01,34843.0
2019-11-01,34443.0
2019-12-01,37967.0
2020-01-01,27200.0
2020-02-01,31915.0
2020-03-01,27040.0
2020-04-01,16165.0
2020-05-01,22152.0
2020-06-01,29121.0
2020-07-01,35359.0
2020-08-01,30624.0
2020-09-01,34921.0
2020-10-01,40269.0
2020-11-01,37896.0
2020-12-01,39080.0
2021-01-01,31756.0
2021-02-01,35601.0
2021-03-01,41662.0
2021-04-01,40314.0
2021-05-01,37615.0
2021-06-01,40947.0
2021-07-01,37109.0
2021-08-01,41016.0
2021-09-01,41925.0
2021-10-01,45493.0
2021-11-01,45321.0
2021-12-01,46671.0
2022-01-01,37260.0
2022-02-01,42035.0
2022-03-01,43486.0
2022-04-01,44741.0
2022-05-01,43665.0
2022-06-01,49134.0
2022-07-01,42299.0
2022-08-01,45450.0
2022-09-01,46186.0
2022-10-01,51249.0
2022-11-01,49073.0
2022-12-01,48426.0
2023-01-01,42413.0
2023-02-01,42817.0
2023-03-01,52178.0
2023-04-01,46423.0
2023-05-01,49296.0
2023-06-01,50080.0
2023-07-01,44369.0
2023-08-01,47665.0
2023-09-01,49075.0
2023-10-01,53759.0
2023-11-01,52420.0
2023-12-01,52159.0
2024-01-01,45157.0
2024-02-01,48102.0
2024-03-01,54866.0
2024-04-01,45482.0
2024-05-01,53347.0
2024-06-01,47880.0
2024-07-01,49618.0
2024-08-01,50229.0
2024-09-01,50714.0
2024-10-01,52215.0
2024-11-01,52951.0
2024-12-01,54519.0
2025-01-01,43726.0
2025-02-01,45889.0
2025-03-01,54891.0
2025-04-01,47370.0
2025-05-01,53261.0
2025-06-01,48093.0
2025-07-01,50055.0
2025-08-01,49861.0
2025-09-01,49087.0
