Tarih,TP_UNDNAKLIYE_YIH_GE_ADET
2016-05-01,2078.0
2016-06-01,2079.0
2016-07-01,1583.0
2016-08-01,1401.0
2016-09-01,1893.0
2016-10-01,2031.0
2016-11-01,1993.0
2016-12-01,1868.0
2017-01-01,1250.0
2017-02-01,1396.0
2017-03-01,1865.0
2017-04-01,1815.0
2017-05-01,2052.0
2017-06-01,2068.0
2017-07-01,1850.0
2017-08-01,2059.0
2017-09-01,1677.0
2017-10-01,2226.0
2017-11-01,2001.0
2017-12-01,2689.0
2018-01-01,1779.0
2018-02-01,2179.0
2018-03-01,2439.0
2018-04-01,2531.0
2018-05-01,2522.0
2018-06-01,2043.0
2018-07-01,1904.0
2018-08-01,1510.0
2018-09-01,1728.0
2018-10-01,1928.0
2018-11-01,2192.0
2018-12-01,2319.0
2019-01-01,1422.0
2019-02-01,1803.0
2019-03-01,3034.0
2019-04-01,2139.0
2019-05-01,2417.0
2019-06-01,2080.0
2019-07-01,2332.0
2019-08-01,2542.0
2019-09-01,2496.0
2019-10-01,2647.0
2019-11-01,2807.0
2019-12-01,4181.0
2020-01-01,1892.0
2020-02-01,2295.0
2020-03-01,2724.0
2020-04-01,1274.0
2020-05-01,1939.0
2020-06-01,2729.0
2020-07-01,3131.0
2020-08-01,2703.0
2020-09-01,3374.0
2020-10-01,3473.0
2020-11-01,3217.0
2020-12-01,3591.0
2021-01-01,2032.0
2021-02-01,2547.0
2021-03-01,3030.0
2021-04-01,3500.0
2021-05-01,3313.0
2021-06-01,3852.0
2021-07-01,3340.0
2021-08-01,3538.0
2021-09-01,3709.0
2021-10-01,3903.0
2021-11-01,3634.0
2021-12-01,4159.0
2022-01-01,3074.0
2022-02-01,3511.0
2022-03-01,3543.0
2022-04-01,3627.0
2022-05-01,4071.0
2022-06-01,3783.0
2022-07-01,3795.0
2022-08-01,3952.0
2022-09-01,3518.0
2022-10-01,3981.0
2022-11-01,4206.0
2022-12-01,4590.0
2023-01-01,3634.0
2023-02-01,3398.0
2023-03-01,4812.0
2023-04-01,4349.0
2023-05-01,4599.0
2023-06-01,4421.0
2023-07-01,3797.0
2023-08-01,4201.0
2023-09-01,4231.0
2023-10-01,4793.0
2023-11-01,4582.0
2023-12-01,5020.0
2024-01-01,3830.0
2024-02-01,4067.0
2024-03-01,4849.0
2024-04-01,4542.0
2024-05-01,5096.0
2024-06-01,4394.0
2024-07-01,4720.0
2024-08-01,4693.0
2024-09-01,4651.0
2024-10-01,4222.0
2024-11-01,4720.0
2024-12-01,4613.0
2025-01-01,3530.0
2025-02-01,3496.0
2025-03-01,4810.0
2025-04-01,4576.0
2025-05-01,4829.0
2025-06-01,4497.0
2025-07-01,4628.0
2025-08-01,4356.0
2025-09-01,4205.0
