Tarih,TP_UNDNAKLIYE_YIH_HU_ADET
2016-10-01,631.0
2016-11-01,669.0
2016-12-01,477.0
2017-01-01,432.0
2017-02-01,512.0
2017-03-01,629.0
2017-04-01,649.0
2017-05-01,611.0
2017-06-01,571.0
2017-07-01,544.0
2017-08-01,547.0
2017-09-01,494.0
2017-10-01,610.0
2017-11-01,613.0
2017-12-01,519.0
2018-01-01,422.0
2018-02-01,426.0
2018-03-01,557.0
2018-04-01,520.0
2018-05-01,524.0
2018-06-01,455.0
2018-07-01,503.0
2018-08-01,370.0
2018-09-01,502.0
2018-10-01,514.0
2018-11-01,578.0
2018-12-01,456.0
2019-01-01,393.0
2019-02-01,478.0
2019-03-01,595.0
2019-04-01,525.0
2019-05-01,538.0
2019-06-01,480.0
2019-07-01,482.0
2019-08-01,402.0
2019-09-01,528.0
2019-10-01,531.0
2019-11-01,514.0
2019-12-01,440.0
2020-01-01,486.0
2020-02-01,528.0
2020-03-01,488.0
2020-04-01,333.0
2020-05-01,416.0
2020-06-01,538.0
2020-07-01,522.0
2020-08-01,467.0
2020-09-01,552.0
2020-10-01,536.0
2020-11-01,636.0
2020-12-01,602.0
2021-01-01,607.0
2021-02-01,808.0
2021-03-01,849.0
2021-04-01,806.0
2021-05-01,732.0
2021-06-01,757.0
2021-07-01,697.0
2021-08-01,702.0
2021-09-01,743.0
2021-10-01,862.0
2021-11-01,870.0
2021-12-01,764.0
2022-01-01,783.0
2022-02-01,848.0
2022-03-01,1009.0
2022-04-01,1010.0
2022-05-01,963.0
2022-06-01,1033.0
2022-07-01,801.0
2022-08-01,868.0
2022-09-01,916.0
2022-10-01,984.0
2022-11-01,860.0
2022-12-01,822.0
2023-01-01,851.0
2023-02-01,987.0
2023-03-01,1082.0
2023-04-01,901.0
2023-05-01,875.0
2023-06-01,928.0
2023-07-01,875.0
2023-08-01,938.0
2023-09-01,1041.0
2023-10-01,1160.0
2023-11-01,1127.0
2023-12-01,920.0
2024-01-01,893.0
2024-02-01,898.0
2024-03-01,972.0
2024-04-01,724.0
2024-05-01,921.0
2024-06-01,797.0
2024-07-01,814.0
2024-08-01,741.0
2024-09-01,843.0
2024-10-01,793.0
2024-11-01,802.0
2024-12-01,659.0
2025-01-01,756.0
2025-02-01,888.0
2025-03-01,937.0
2025-04-01,762.0
2025-05-01,900.0
2025-06-01,871.0
2025-07-01,841.0
2025-08-01,824.0
2025-09-01,855.0
