Tarih,TP_UNDNAKLIYE_YIH_TM_ADET
2016-10-01,51.0
2016-11-01,169.0
2016-12-01,92.0
2017-01-01,216.0
2017-02-01,132.0
2017-03-01,168.0
2017-04-01,257.0
2017-05-01,307.0
2017-06-01,221.0
2017-07-01,183.0
2017-08-01,234.0
2017-09-01,193.0
2017-10-01,269.0
2017-11-01,256.0
2017-12-01,298.0
2018-01-01,315.0
2018-02-01,155.0
2018-03-01,248.0
2018-04-01,233.0
2018-05-01,166.0
2018-06-01,189.0
2018-07-01,177.0
2018-08-01,198.0
2018-09-01,173.0
2018-10-01,210.0
2018-11-01,256.0
2018-12-01,275.0
2019-01-01,212.0
2019-02-01,174.0
2019-03-01,266.0
2019-04-01,328.0
2019-05-01,398.0
2019-06-01,320.0
2019-07-01,412.0
2019-08-01,379.0
2019-09-01,397.0
2019-10-01,427.0
2019-11-01,409.0
2019-12-01,482.0
2020-01-01,323.0
2020-02-01,391.0
2020-03-01,485.0
2020-04-01,28.0
2020-05-01,21.0
2020-06-01,16.0
2020-07-01,17.0
2020-08-01,15.0
2020-09-01,26.0
2020-10-01,24.0
2020-11-01,19.0
2020-12-01,31.0
2021-01-01,28.0
2021-02-01,35.0
2021-03-01,60.0
2021-04-01,27.0
2021-05-01,40.0
2021-06-01,47.0
2021-07-01,38.0
2021-08-01,58.0
2021-09-01,34.0
2021-10-01,45.0
2021-11-01,39.0
2021-12-01,52.0
2022-01-01,55.0
2022-02-01,81.0
2022-03-01,75.0
2022-04-01,94.0
2022-05-01,76.0
2022-06-01,75.0
2022-07-01,62.0
2022-08-01,53.0
2022-09-01,72.0
2022-10-01,116.0
2022-11-01,260.0
2022-12-01,377.0
2023-01-01,352.0
2023-02-01,354.0
2023-03-01,415.0
2023-04-01,433.0
2023-05-01,579.0
2023-06-01,634.0
2023-07-01,473.0
2023-08-01,616.0
2023-09-01,521.0
2023-10-01,583.0
2023-11-01,528.0
2023-12-01,702.0
2024-01-01,582.0
2024-02-01,566.0
2024-03-01,644.0
2024-04-01,569.0
2024-05-01,955.0
2024-06-01,771.0
2024-07-01,878.0
2024-08-01,1040.0
2024-09-01,980.0
2024-10-01,1034.0
2024-11-01,909.0
2024-12-01,1220.0
2025-01-01,887.0
2025-02-01,765.0
2025-03-01,1138.0
2025-04-01,958.0
2025-05-01,1072.0
2025-06-01,1064.0
2025-07-01,982.0
2025-08-01,1163.0
2025-09-01,1027.0
