Tarih,TP_UNDNAKLIYE_YIH_AZ_ADET
2016-10-01,518.0
2016-11-01,510.0
2016-12-01,449.0
2017-01-01,359.0
2017-02-01,425.0
2017-03-01,518.0
2017-04-01,552.0
2017-05-01,511.0
2017-06-01,472.0
2017-07-01,496.0
2017-08-01,506.0
2017-09-01,399.0
2017-10-01,585.0
2017-11-01,589.0
2017-12-01,671.0
2018-01-01,470.0
2018-02-01,532.0
2018-03-01,762.0
2018-04-01,790.0
2018-05-01,713.0
2018-06-01,525.0
2018-07-01,558.0
2018-08-01,467.0
2018-09-01,602.0
2018-10-01,627.0
2018-11-01,546.0
2018-12-01,589.0
2019-01-01,375.0
2019-02-01,521.0
2019-03-01,793.0
2019-04-01,633.0
2019-05-01,749.0
2019-06-01,509.0
2019-07-01,645.0
2019-08-01,686.0
2019-09-01,772.0
2019-10-01,778.0
2019-11-01,771.0
2019-12-01,1249.0
2020-01-01,609.0
2020-02-01,754.0
2020-03-01,892.0
2020-04-01,576.0
2020-05-01,810.0
2020-06-01,736.0
2020-07-01,737.0
2020-08-01,620.0
2020-09-01,848.0
2020-10-01,896.0
2020-11-01,993.0
2020-12-01,985.0
2021-01-01,815.0
2021-02-01,1075.0
2021-03-01,1138.0
2021-04-01,1073.0
2021-05-01,1172.0
2021-06-01,1245.0
2021-07-01,1122.0
2021-08-01,1320.0
2021-09-01,1302.0
2021-10-01,1515.0
2021-11-01,1337.0
2021-12-01,1556.0
2022-01-01,1155.0
2022-02-01,1582.0
2022-03-01,1507.0
2022-04-01,1261.0
2022-05-01,1415.0
2022-06-01,1534.0
2022-07-01,1480.0
2022-08-01,1756.0
2022-09-01,1571.0
2022-10-01,1739.0
2022-11-01,1856.0
2022-12-01,1970.0
2023-01-01,1495.0
2023-02-01,1613.0
2023-03-01,1712.0
2023-04-01,1837.0
2023-05-01,1669.0
2023-06-01,1941.0
2023-07-01,1576.0
2023-08-01,1541.0
2023-09-01,1570.0
2023-10-01,1591.0
2023-11-01,1548.0
2023-12-01,1870.0
2024-01-01,1588.0
2024-02-01,1564.0
2024-03-01,1912.0
2024-04-01,1612.0
2024-05-01,2094.0
2024-06-01,1414.0
2024-07-01,1545.0
2024-08-01,1560.0
2024-09-01,1834.0
2024-10-01,1747.0
2024-11-01,1871.0
2024-12-01,2189.0
2025-01-01,1793.0
2025-02-01,1670.0
2025-03-01,2007.0
2025-04-01,1894.0
2025-05-01,1762.0
2025-06-01,1497.0
2025-07-01,1591.0
2025-08-01,1751.0
2025-09-01,1528.0
