Tarih,TP_UNDNAKLIYE_YIH_ES_ADET
2016-10-01,295.0
2016-11-01,285.0
2016-12-01,172.0
2017-01-01,225.0
2017-02-01,258.0
2017-03-01,280.0
2017-04-01,213.0
2017-05-01,252.0
2017-06-01,239.0
2017-07-01,192.0
2017-08-01,275.0
2017-09-01,223.0
2017-10-01,315.0
2017-11-01,301.0
2017-12-01,148.0
2018-01-01,229.0
2018-02-01,181.0
2018-03-01,198.0
2018-04-01,195.0
2018-05-01,175.0
2018-06-01,129.0
2018-07-01,193.0
2018-08-01,129.0
2018-09-01,182.0
2018-10-01,199.0
2018-11-01,180.0
2018-12-01,146.0
2019-01-01,95.0
2019-02-01,133.0
2019-03-01,175.0
2019-04-01,145.0
2019-05-01,155.0
2019-06-01,111.0
2019-07-01,133.0
2019-08-01,108.0
2019-09-01,139.0
2019-10-01,208.0
2019-11-01,171.0
2019-12-01,116.0
2020-01-01,103.0
2020-02-01,144.0
2020-03-01,102.0
2020-04-01,74.0
2020-05-01,100.0
2020-06-01,90.0
2020-07-01,119.0
2020-08-01,101.0
2020-09-01,124.0
2020-10-01,148.0
2020-11-01,110.0
2020-12-01,94.0
2021-01-01,70.0
2021-02-01,91.0
2021-03-01,107.0
2021-04-01,144.0
2021-05-01,120.0
2021-06-01,99.0
2021-07-01,125.0
2021-08-01,80.0
2021-09-01,122.0
2021-10-01,89.0
2021-11-01,106.0
2021-12-01,108.0
2022-01-01,118.0
2022-02-01,132.0
2022-03-01,114.0
2022-04-01,103.0
2022-05-01,77.0
2022-06-01,109.0
2022-07-01,88.0
2022-08-01,105.0
2022-09-01,109.0
2022-10-01,133.0
2022-11-01,78.0
2022-12-01,55.0
2023-01-01,75.0
2023-02-01,58.0
2023-03-01,76.0
2023-04-01,77.0
2023-05-01,75.0
2023-06-01,111.0
2023-07-01,104.0
2023-08-01,53.0
2023-09-01,73.0
2023-10-01,68.0
2023-11-01,102.0
2023-12-01,85.0
2024-01-01,97.0
2024-02-01,115.0
2024-03-01,94.0
2024-04-01,95.0
2024-05-01,129.0
2024-06-01,111.0
2024-07-01,101.0
2024-08-01,91.0
2024-09-01,118.0
2024-10-01,114.0
2024-11-01,143.0
2024-12-01,123.0
2025-01-01,107.0
2025-02-01,118.0
2025-03-01,151.0
2025-04-01,140.0
2025-05-01,194.0
2025-06-01,176.0
2025-07-01,182.0
2025-08-01,125.0
2025-09-01,165.0
