Tarih,TP_UNDNAKLIYE_YIH_BA_ADET
2016-10-01,357.0
2016-11-01,364.0
2016-12-01,383.0
2017-01-01,238.0
2017-02-01,341.0
2017-03-01,426.0
2017-04-01,475.0
2017-05-01,444.0
2017-06-01,488.0
2017-07-01,406.0
2017-08-01,391.0
2017-09-01,388.0
2017-10-01,513.0
2017-11-01,378.0
2017-12-01,477.0
2018-01-01,310.0
2018-02-01,425.0
2018-03-01,465.0
2018-04-01,420.0
2018-05-01,453.0
2018-06-01,446.0
2018-07-01,399.0
2018-08-01,279.0
2018-09-01,385.0
2018-10-01,376.0
2018-11-01,363.0
2018-12-01,407.0
2019-01-01,291.0
2019-02-01,406.0
2019-03-01,556.0
2019-04-01,557.0
2019-05-01,488.0
2019-06-01,427.0
2019-07-01,427.0
2019-08-01,361.0
2019-09-01,404.0
2019-10-01,465.0
2019-11-01,513.0
2019-12-01,538.0
2020-01-01,357.0
2020-02-01,478.0
2020-03-01,501.0
2020-04-01,400.0
2020-05-01,418.0
2020-06-01,464.0
2020-07-01,527.0
2020-08-01,451.0
2020-09-01,525.0
2020-10-01,613.0
2020-11-01,567.0
2020-12-01,616.0
2021-01-01,405.0
2021-02-01,583.0
2021-03-01,600.0
2021-04-01,627.0
2021-05-01,574.0
2021-06-01,589.0
2021-07-01,538.0
2021-08-01,589.0
2021-09-01,624.0
2021-10-01,689.0
2021-11-01,650.0
2021-12-01,700.0
2022-01-01,511.0
2022-02-01,658.0
2022-03-01,713.0
2022-04-01,775.0
2022-05-01,578.0
2022-06-01,831.0
2022-07-01,535.0
2022-08-01,580.0
2022-09-01,617.0
2022-10-01,677.0
2022-11-01,704.0
2022-12-01,720.0
2023-01-01,490.0
2023-02-01,604.0
2023-03-01,730.0
2023-04-01,636.0
2023-05-01,699.0
2023-06-01,685.0
2023-07-01,626.0
2023-08-01,655.0
2023-09-01,644.0
2023-10-01,716.0
2023-11-01,722.0
2023-12-01,748.0
2024-01-01,534.0
2024-02-01,712.0
2024-03-01,847.0
2024-04-01,672.0
2024-05-01,745.0
2024-06-01,639.0
2024-07-01,691.0
2024-08-01,716.0
2024-09-01,717.0
2024-10-01,692.0
2024-11-01,685.0
2024-12-01,614.0
2025-01-01,424.0
2025-02-01,583.0
2025-03-01,670.0
2025-04-01,592.0
2025-05-01,664.0
2025-06-01,596.0
2025-07-01,645.0
2025-08-01,648.0
2025-09-01,594.0
