Tarih,TP_UNDNAKLIYE_YIH_MD_ADET
2016-10-01,354.0
2016-11-01,370.0
2016-12-01,427.0
2017-01-01,251.0
2017-02-01,347.0
2017-03-01,430.0
2017-04-01,413.0
2017-05-01,350.0
2017-06-01,332.0
2017-07-01,277.0
2017-08-01,310.0
2017-09-01,248.0
2017-10-01,334.0
2017-11-01,323.0
2017-12-01,414.0
2018-01-01,250.0
2018-02-01,351.0
2018-03-01,407.0
2018-04-01,366.0
2018-05-01,403.0
2018-06-01,307.0
2018-07-01,300.0
2018-08-01,273.0
2018-09-01,277.0
2018-10-01,354.0
2018-11-01,392.0
2018-12-01,495.0
2019-01-01,224.0
2019-02-01,353.0
2019-03-01,405.0
2019-04-01,436.0
2019-05-01,343.0
2019-06-01,315.0
2019-07-01,290.0
2019-08-01,330.0
2019-09-01,422.0
2019-10-01,434.0
2019-11-01,406.0
2019-12-01,539.0
2020-01-01,274.0
2020-02-01,400.0
2020-03-01,331.0
2020-04-01,132.0
2020-05-01,312.0
2020-06-01,340.0
2020-07-01,403.0
2020-08-01,359.0
2020-09-01,405.0
2020-10-01,433.0
2020-11-01,445.0
2020-12-01,537.0
2021-01-01,315.0
2021-02-01,398.0
2021-03-01,476.0
2021-04-01,480.0
2021-05-01,427.0
2021-06-01,516.0
2021-07-01,422.0
2021-08-01,447.0
2021-09-01,464.0
2021-10-01,529.0
2021-11-01,554.0
2021-12-01,631.0
2022-01-01,384.0
2022-02-01,510.0
2022-03-01,655.0
2022-04-01,647.0
2022-05-01,445.0
2022-06-01,547.0
2022-07-01,431.0
2022-08-01,612.0
2022-09-01,671.0
2022-10-01,658.0
2022-11-01,579.0
2022-12-01,703.0
2023-01-01,392.0
2023-02-01,548.0
2023-03-01,726.0
2023-04-01,634.0
2023-05-01,702.0
2023-06-01,621.0
2023-07-01,636.0
2023-08-01,713.0
2023-09-01,677.0
2023-10-01,770.0
2023-11-01,721.0
2023-12-01,849.0
2024-01-01,515.0
2024-02-01,748.0
2024-03-01,810.0
2024-04-01,796.0
2024-05-01,840.0
2024-06-01,826.0
2024-07-01,923.0
2024-08-01,899.0
2024-09-01,871.0
2024-10-01,941.0
2024-11-01,941.0
2024-12-01,938.0
2025-01-01,556.0
2025-02-01,802.0
2025-03-01,901.0
2025-04-01,737.0
2025-05-01,829.0
2025-06-01,765.0
2025-07-01,861.0
2025-08-01,876.0
2025-09-01,760.0
