Tarih,TP_UNDNAKLIYE_YIH_IQ_ADET
2016-06-01,242.0
2016-07-01,121.0
2016-08-01,240.0
2016-09-01,649.0
2016-10-01,787.0
2016-11-01,911.0
2016-12-01,437.0
2017-01-01,269.0
2017-02-01,302.0
2017-03-01,594.0
2017-04-01,673.0
2017-05-01,649.0
2017-06-01,455.0
2017-07-01,616.0
2017-08-01,1036.0
2017-09-01,689.0
2017-10-01,826.0
2017-11-01,644.0
2017-12-01,1057.0
2018-01-01,528.0
2018-02-01,401.0
2018-03-01,499.0
2018-04-01,438.0
2018-05-01,391.0
2018-06-01,319.0
2018-07-01,497.0
2018-08-01,203.0
2018-09-01,218.0
2018-10-01,353.0
2018-11-01,369.0
2018-12-01,192.0
2019-01-01,135.0
2019-02-01,153.0
2019-03-01,438.0
2019-04-01,65.0
2019-05-01,99.0
2019-06-01,150.0
2019-07-01,124.0
2019-08-01,110.0
2019-09-01,151.0
2019-10-01,361.0
2019-11-01,276.0
2019-12-01,551.0
2020-01-01,194.0
2020-02-01,161.0
2020-03-01,26.0
2020-04-01,14.0
2020-05-01,41.0
2020-06-01,69.0
2020-07-01,39.0
2020-08-01,30.0
2020-09-01,263.0
2020-10-01,988.0
2020-11-01,904.0
2020-12-01,785.0
2021-01-01,149.0
2021-02-01,114.0
2021-03-01,90.0
2021-04-01,50.0
2021-05-01,58.0
2021-06-01,37.0
2021-07-01,52.0
2021-08-01,562.0
2021-09-01,170.0
2021-10-01,420.0
2021-11-01,748.0
2021-12-01,361.0
2022-01-01,94.0
2022-02-01,251.0
2022-03-01,711.0
2022-04-01,303.0
2022-05-01,226.0
2022-06-01,374.0
2022-07-01,447.0
2022-08-01,699.0
2022-09-01,634.0
2022-10-01,711.0
2022-11-01,868.0
2022-12-01,776.0
2023-01-01,417.0
2023-02-01,250.0
2023-03-01,328.0
2023-04-01,488.0
2023-05-01,527.0
2023-06-01,759.0
2023-07-01,842.0
2023-08-01,927.0
2023-09-01,749.0
2023-10-01,1382.0
2023-11-01,1070.0
2023-12-01,801.0
2024-01-01,801.0
2024-02-01,814.0
2024-03-01,755.0
2024-04-01,558.0
2024-05-01,659.0
2024-06-01,577.0
2024-07-01,910.0
2024-08-01,1300.0
2024-09-01,1100.0
2024-10-01,785.0
2024-11-01,858.0
2024-12-01,1202.0
2025-01-01,594.0
2025-02-01,258.0
2025-03-01,429.0
2025-04-01,215.0
2025-05-01,253.0
2025-06-01,283.0
2025-07-01,260.0
2025-08-01,274.0
2025-09-01,207.0
