Tarih,TP_IYAW2_S21_B
2015-06-01,50.1
2015-07-01,53.8
2015-08-01,57.2
2015-09-01,51.8
2015-10-01,58.2
2015-11-01,55.5
2015-12-01,55.6
2016-01-01,60.7
2016-02-01,62.3
2016-03-01,49.0
2016-04-01,46.1
2016-05-01,53.3
2016-06-01,50.5
2016-07-01,54.6
2016-08-01,56.1
2016-09-01,47.0
2016-10-01,58.7
2016-11-01,55.2
2016-12-01,54.0
2017-01-01,55.3
2017-02-01,56.0
2017-03-01,55.1
2017-04-01,52.2
2017-05-01,53.3
2017-06-01,53.9
2017-07-01,56.7
2017-08-01,63.4
2017-09-01,51.5
2017-10-01,54.3
2017-11-01,56.7
2017-12-01,57.7
2018-01-01,59.8
2018-02-01,58.4
2018-03-01,50.9
2018-04-01,57.1
2018-05-01,56.7
2018-06-01,56.7
2018-07-01,55.4
2018-08-01,59.1
2018-09-01,49.2
2018-10-01,50.0
2018-11-01,55.6
2018-12-01,55.2
2019-01-01,58.7
2019-02-01,52.9
2019-03-01,53.1
2019-04-01,53.6
2019-05-01,55.8
2019-06-01,57.9
2019-07-01,57.8
2019-08-01,65.2
2019-09-01,56.4
2019-10-01,55.7
2019-11-01,59.1
2019-12-01,63.7
2020-01-01,64.1
2020-02-01,56.2
2020-03-01,52.3
2020-04-01,26.7
2020-05-01,32.7
2020-06-01,41.3
2020-07-01,45.1
2020-08-01,48.7
2020-09-01,53.5
2020-10-01,57.5
2020-11-01,59.2
2020-12-01,59.5
2021-01-01,54.1
2021-02-01,59.9
2021-03-01,54.5
2021-04-01,54.5
2021-05-01,56.3
2021-06-01,54.5
2021-07-01,56.1
2021-08-01,58.2
2021-09-01,58.0
2021-10-01,57.9
2021-11-01,58.2
2021-12-01,58.0
2022-01-01,57.2
2022-02-01,60.9
2022-03-01,54.5
2022-04-01,57.3
2022-05-01,58.5
2022-06-01,54.0
2022-07-01,60.9
2022-08-01,59.2
2022-09-01,57.7
2022-10-01,60.6
2022-11-01,61.5
2022-12-01,60.3
2023-01-01,60.5
2023-02-01,58.9
2023-03-01,54.8
2023-04-01,54.0
2023-05-01,52.6
2023-06-01,50.9
2023-07-01,56.8
2023-08-01,63.6
2023-09-01,58.0
2023-10-01,58.7
2023-11-01,57.0
2023-12-01,56.7
2024-01-01,55.8
2024-02-01,64.3
2024-03-01,57.8
2024-04-01,57.1
2024-05-01,56.3
2024-06-01,55.4
2024-07-01,58.4
2024-08-01,55.3
2024-09-01,55.8
2024-10-01,60.2
2024-11-01,59.9
2024-12-01,63.1
2025-01-01,59.7
2025-02-01,60.2
2025-03-01,57.4
2025-04-01,60.3
2025-05-01,60.7
2025-06-01,61.6
2025-07-01,59.9
2025-08-01,62.1
2025-09-01,61.8
