Tarih,TP_IYA_CNDU2_S07_B
2015-06-01,77.8
2015-07-01,79.8
2015-08-01,77.2
2015-09-01,74.0
2015-10-01,75.8
2015-11-01,77.6
2015-12-01,73.3
2016-01-01,75.1
2016-02-01,76.5
2016-03-01,73.6
2016-04-01,74.6
2016-05-01,77.4
2016-06-01,79.4
2016-07-01,77.3
2016-08-01,77.9
2016-09-01,72.7
2016-10-01,75.1
2016-11-01,76.4
2016-12-01,80.1
2017-01-01,80.2
2017-02-01,76.0
2017-03-01,70.0
2017-04-01,72.6
2017-05-01,72.1
2017-06-01,76.9
2017-07-01,78.8
2017-08-01,80.2
2017-09-01,76.2
2017-10-01,79.8
2017-11-01,82.5
2017-12-01,81.6
2018-01-01,79.4
2018-02-01,78.6
2018-03-01,75.4
2018-04-01,74.5
2018-05-01,77.0
2018-06-01,78.6
2018-07-01,82.7
2018-08-01,81.2
2018-09-01,78.3
2018-10-01,80.8
2018-11-01,78.8
2018-12-01,77.7
2019-01-01,74.5
2019-02-01,76.8
2019-03-01,76.7
2019-04-01,76.2
2019-05-01,76.1
2019-06-01,80.0
2019-07-01,83.1
2019-08-01,78.6
2019-09-01,77.5
2019-10-01,79.8
2019-11-01,81.6
2019-12-01,78.6
2020-01-01,80.8
2020-02-01,77.3
2020-03-01,74.5
2020-04-01,60.7
2020-05-01,69.8
2020-06-01,79.4
2020-07-01,76.2
2020-08-01,77.1
2020-09-01,83.3
2020-10-01,80.1
2020-11-01,85.8
2020-12-01,81.8
2021-01-01,84.4
2021-02-01,80.9
2021-03-01,80.1
2021-04-01,75.2
2021-05-01,81.2
2021-06-01,81.0
2021-07-01,72.6
2021-08-01,77.7
2021-09-01,75.1
2021-10-01,77.8
2021-11-01,79.4
2021-12-01,74.4
2022-01-01,78.7
2022-02-01,79.1
2022-03-01,76.5
2022-04-01,77.5
2022-05-01,76.5
2022-06-01,72.9
2022-07-01,74.5
2022-08-01,73.1
2022-09-01,72.6
2022-10-01,75.1
2022-11-01,77.1
2022-12-01,73.8
2023-01-01,72.1
2023-02-01,78.6
2023-03-01,75.5
2023-04-01,76.7
2023-05-01,82.3
2023-06-01,79.4
2023-07-01,76.5
2023-08-01,74.7
2023-09-01,76.2
2023-10-01,71.3
2023-11-01,75.0
2023-12-01,78.2
2024-01-01,73.6
2024-02-01,76.2
2024-03-01,74.1
2024-04-01,77.9
2024-05-01,75.2
2024-06-01,75.0
2024-07-01,75.8
2024-08-01,77.2
2024-09-01,75.4
2024-10-01,71.4
2024-11-01,75.6
2024-12-01,73.7
2025-01-01,77.4
2025-02-01,77.5
2025-03-01,75.9
2025-04-01,75.7
2025-05-01,76.4
2025-06-01,77.5
2025-07-01,75.1
2025-08-01,76.6
2025-09-01,78.4
