Tarih,TP_AKONUTSAT1_TOPLAM
2016-09-01,108918.0
2016-10-01,130274.0
2016-11-01,132655.0
2016-12-01,142713.0
2017-01-01,95389.0
2017-02-01,101468.0
2017-03-01,128923.0
2017-04-01,114446.0
2017-05-01,116558.0
2017-06-01,97579.0
2017-07-01,115869.0
2017-08-01,120198.0
2017-09-01,140298.0
2017-10-01,122882.0
2017-11-01,122732.0
2017-12-01,132972.0
2018-01-01,97019.0
2018-02-01,95953.0
2018-03-01,110905.0
2018-04-01,103087.0
2018-05-01,119655.0
2018-06-01,119413.0
2018-07-01,123878.0
2018-08-01,105154.0
2018-09-01,127327.0
2018-10-01,146536.0
2018-11-01,89626.0
2018-12-01,136845.0
2019-01-01,72937.0
2019-02-01,78450.0
2019-03-01,105046.0
2019-04-01,96071.0
2019-05-01,91937.0
2019-06-01,61355.0
2019-07-01,102236.0
2019-08-01,110538.0
2019-09-01,146903.0
2019-10-01,142810.0
2019-11-01,138372.0
2019-12-01,202074.0
2020-01-01,113615.0
2020-02-01,118753.0
2020-03-01,108670.0
2020-04-01,42783.0
2020-05-01,50936.0
2020-06-01,190012.0
2020-07-01,229357.0
2020-08-01,170408.0
2020-09-01,136744.0
2020-10-01,119574.0
2020-11-01,112483.0
2020-12-01,105981.0
2021-01-01,70587.0
2021-02-01,81222.0
2021-03-01,111241.0
2021-04-01,95863.0
2021-05-01,59166.0
2021-06-01,134731.0
2021-07-01,107785.0
2021-08-01,141400.0
2021-09-01,147143.0
2021-10-01,137401.0
2021-11-01,178814.0
2021-12-01,226503.0
2022-01-01,88306.0
2022-02-01,97587.0
2022-03-01,134170.0
2022-04-01,133058.0
2022-05-01,122768.0
2022-06-01,150509.0
2022-07-01,93902.0
2022-08-01,123491.0
2022-09-01,113402.0
2022-10-01,102660.0
2022-11-01,117806.0
2022-12-01,207963.0
2023-01-01,97708.0
2023-02-01,80031.0
2023-03-01,105476.0
2023-04-01,85652.0
2023-05-01,113276.0
2023-06-01,83636.0
2023-07-01,109548.0
2023-08-01,122091.0
2023-09-01,102656.0
2023-10-01,93761.0
2023-11-01,93514.0
2023-12-01,138577.0
2024-01-01,80308.0
2024-02-01,93902.0
2024-03-01,105394.0
2024-04-01,75569.0
2024-05-01,110588.0
2024-06-01,79313.0
2024-07-01,127088.0
2024-08-01,134155.0
2024-09-01,140919.0
2024-10-01,165138.0
2024-11-01,153014.0
2024-12-01,212637.0
2025-01-01,112173.0
2025-02-01,112818.0
2025-03-01,110795.0
2025-04-01,118359.0
2025-05-01,130025.0
2025-06-01,107723.0
2025-07-01,142858.0
2025-08-01,143319.0
2025-09-01,150657.0
