Tarih,TP_AKONUTSAT1_K1
2016-10-01,2866.0
2016-11-01,2770.0
2016-12-01,2910.0
2017-01-01,2119.0
2017-02-01,2197.0
2017-03-01,3188.0
2017-04-01,2587.0
2017-05-01,2559.0
2017-06-01,2787.0
2017-07-01,2410.0
2017-08-01,2386.0
2017-09-01,2896.0
2017-10-01,2826.0
2017-11-01,2505.0
2017-12-01,2891.0
2018-01-01,2306.0
2018-02-01,2425.0
2018-03-01,2620.0
2018-04-01,2493.0
2018-05-01,2897.0
2018-06-01,2854.0
2018-07-01,2633.0
2018-08-01,2025.0
2018-09-01,2613.0
2018-10-01,2869.0
2018-11-01,1897.0
2018-12-01,3006.0
2019-01-01,1866.0
2019-02-01,1970.0
2019-03-01,2683.0
2019-04-01,2200.0
2019-05-01,1936.0
2019-06-01,1268.0
2019-07-01,2091.0
2019-08-01,2447.0
2019-09-01,3346.0
2019-10-01,2963.0
2019-11-01,2939.0
2019-12-01,3865.0
2020-01-01,2523.0
2020-02-01,2726.0
2020-03-01,2652.0
2020-04-01,1271.0
2020-05-01,1568.0
2020-06-01,5024.0
2020-07-01,5245.0
2020-08-01,3486.0
2020-09-01,2578.0
2020-10-01,2449.0
2020-11-01,2159.0
2020-12-01,1645.0
2021-01-01,1279.0
2021-02-01,1616.0
2021-03-01,2236.0
2021-04-01,2103.0
2021-05-01,1077.0
2021-06-01,2726.0
2021-07-01,2213.0
2021-08-01,2746.0
2021-09-01,2674.0
2021-10-01,2506.0
2021-11-01,3331.0
2021-12-01,3780.0
2022-01-01,1568.0
2022-02-01,1677.0
2022-03-01,2335.0
2022-04-01,2622.0
2022-05-01,2349.0
2022-06-01,2740.0
2022-07-01,1801.0
2022-08-01,2423.0
2022-09-01,2019.0
2022-10-01,1769.0
2022-11-01,2036.0
2022-12-01,3569.0
2023-01-01,2279.0
2023-02-01,881.0
2023-03-01,1597.0
2023-04-01,1369.0
2023-05-01,1878.0
2023-06-01,1518.0
2023-07-01,1926.0
2023-08-01,1914.0
2023-09-01,1849.0
2023-10-01,1714.0
2023-11-01,1738.0
2023-12-01,2480.0
2024-01-01,1673.0
2024-02-01,2029.0
2024-03-01,2611.0
2024-04-01,1975.0
2024-05-01,2684.0
2024-06-01,1815.0
2024-07-01,3074.0
2024-08-01,3036.0
2024-09-01,3140.0
2024-10-01,3543.0
2024-11-01,3148.0
2024-12-01,4404.0
2025-01-01,2442.0
2025-02-01,2518.0
2025-03-01,2848.0
2025-04-01,2834.0
2025-05-01,2852.0
2025-06-01,2294.0
2025-07-01,3082.0
2025-08-01,3096.0
2025-09-01,3296.0
