Tarih,TP_ALTINGR_ZBESLIK
2015-11-01,5439.4
2015-12-01,1088.1
2016-01-01,8704.1
2016-02-01,4353.1
2016-03-01,5439.7
2016-04-01,4352.0
2016-05-01,6527.8
2016-06-01,9793.3
2016-07-01,2176.0
2016-08-01,6529.1
2016-09-01,5439.2
2016-10-01,6525.2
2016-11-01,5438.4
2016-12-01,2174.2
2017-01-01,9788.2
2017-02-01,6523.6
2017-03-01,10872.3
2017-04-01,4350.2
2017-05-01,17401.0
2017-06-01,4350.7
2017-07-01,8701.1
2017-08-01,4350.8
2017-09-01,8700.7
2017-10-01,6525.9
2017-11-01,5438.3
2017-12-01,4350.5
2018-01-01,18486.0
2018-02-01,4349.3
2018-03-01,5435.4
2018-04-01,13046.8
2018-05-01,8698.0
2018-06-01,7610.5
2018-07-01,10874.7
2018-08-01,3263.1
2018-09-01,8699.8
2018-10-01,6525.8
2018-11-01,5439.2
2018-12-01,7606.0
2019-01-01,18471.0
2019-02-01,2173.1
2019-03-01,5432.6
2019-04-01,11950.6
2019-05-01,4346.1
2019-06-01,4346.0
2019-07-01,5432.1
2019-08-01,3259.2
2019-09-01,10864.3
2019-10-01,3259.9
2019-11-01,5433.0
2019-12-01,6513.5
2020-01-01,9769.5
2020-02-01,5427.4
2020-03-01,4342.2
2020-04-01,
2020-05-01,
2020-06-01,10855.1
2020-07-01,6512.6
2020-08-01,4342.0
2020-09-01,11939.3
2020-10-01,6512.5
2020-11-01,2170.8
2020-12-01,2170.8
2021-01-01,11940.0
2021-02-01,6513.0
2021-03-01,29318.8
2021-04-01,3257.7
2021-05-01,
2021-06-01,4344.2
2021-07-01,5430.6
2021-08-01,9775.4
2021-09-01,7603.0
2021-10-01,2172.5
2021-11-01,1086.3
2021-12-01,
2022-01-01,13044.4
2022-02-01,6522.9
2022-03-01,4348.2
2022-04-01,4348.7
2022-05-01,4349.2
2022-06-01,8696.9
2022-07-01,6522.0
2022-08-01,7608.3
2022-09-01,9782.9
2022-10-01,4348.0
2022-11-01,5435.9
2022-12-01,5434.7
2023-01-01,14132.9
2023-02-01,8696.2
2023-03-01,10871.1
2023-04-01,3261.0
2023-05-01,2174.3
2023-06-01,10872.1
2023-07-01,10870.8
2023-08-01,7606.2
2023-09-01,8694.1
2023-10-01,6519.4
2023-11-01,6520.7
2023-12-01,2173.2
2024-01-01,7604.5
2024-02-01,
2024-03-01,1086.4
2024-04-01,4345.7
2024-05-01,14121.0
2024-06-01,4345.3
2024-07-01,5431.5
2024-08-01,4345.1
2024-09-01,5430.9
2024-10-01,5435.8
2024-11-01,6523.3
2024-12-01,
2025-01-01,11958.5
2025-02-01,2174.2
2025-03-01,3261.2
2025-04-01,4349.0
2025-05-01,3260.7
2025-06-01,4348.7
2025-07-01,3261.2
2025-08-01,5435.4
2025-09-01,1087.1
