Tarih,TP_FKF_TRY_15
2017-05-01,14.97
2017-06-01,15.07
2017-07-01,15.39
2017-08-01,15.64
2017-09-01,15.85
2017-10-01,16.02
2017-11-01,16.18
2017-12-01,16.33
2018-01-01,16.65
2018-02-01,16.96
2018-03-01,17.21
2018-04-01,16.8
2018-05-01,17.72
2018-06-01,17.57
2018-07-01,18.15
2018-08-01,18.81
2018-09-01,19.26
2018-10-01,19.82
2018-11-01,21.42
2018-12-01,19.97
2019-01-01,20.71
2019-02-01,21.25
2019-03-01,21.91
2019-04-01,22.34
2019-05-01,23.0
2019-06-01,24.45
2019-07-01,24.85
2019-08-01,25.49
2019-09-01,25.58
2019-10-01,25.38
2019-11-01,24.74
2019-12-01,24.06
2020-01-01,24.0
2020-02-01,23.56
2020-03-01,23.07
2020-04-01,22.81
2020-05-01,22.53
2020-06-01,21.89
2020-07-01,20.99
2020-08-01,20.04
2020-09-01,19.53
2020-10-01,19.4
2020-11-01,19.46
2020-12-01,19.63
2021-01-01,19.73
2021-02-01,19.56
2021-03-01,20.03
2021-04-01,20.46
2021-05-01,21.92
2021-06-01,22.42
2021-07-01,22.81
2021-08-01,23.7
2021-09-01,23.81
2021-10-01,23.71
2021-11-01,24.01
2021-12-01,24.36
2022-01-01,24.84
2022-02-01,25.53
2022-03-01,26.43
2022-04-01,27.21
2022-05-01,28.02
2022-06-01,29.43
2022-07-01,30.7
2022-08-01,31.9
2022-09-01,33.03
2022-10-01,33.9
2022-11-01,34.45
2022-12-01,33.74
2023-01-01,33.24
2023-02-01,33.25
2023-03-01,32.46
2023-04-01,34.66
2023-05-01,34.84
2023-06-01,36.56
2023-07-01,38.38
2023-08-01,40.47
2023-09-01,42.61
2023-10-01,46.47
2023-11-01,50.17
2023-12-01,53.06
2024-01-01,54.75
2024-02-01,56.5
2024-03-01,58.28
2024-04-01,61.08
2024-05-01,65.58
2024-06-01,70.52
2024-07-01,72.62
2024-08-01,73.58
2024-09-01,74.32
2024-10-01,74.22
2024-11-01,73.46
2024-12-01,72.71
2025-01-01,72.82
2025-02-01,72.42
2025-03-01,71.37
2025-04-01,70.94
2025-05-01,71.59
2025-06-01,72.18
2025-07-01,72.55
2025-08-01,72.8
