Tarih,TP_PY_P03_ON
2000-01-02,356820.0
2000-01-03,397200.0
2000-01-04,221060.0
2000-01-05,308600.0
2000-01-06,335200.0
2000-01-07,233120.0
2000-01-08,179000.0
2000-01-09,371100.0
2000-01-10,
2000-01-11,289220.0
2000-01-12,270460.0
2000-01-13,313040.0
2000-01-14,455120.0
2000-01-17,358600.0
2000-01-18,309740.0
2000-01-19,283820.0
2000-01-20,338000.0
2000-01-21,323820.0
2000-01-24,266160.0
2000-01-25,315680.0
2000-01-26,277360.0
2000-01-27,306940.0
2000-01-28,401740.0
2000-01-31,348140.0
2000-02-01,356820.0
2000-02-02,369060.0
2000-02-03,337200.0
2000-02-04,411480.0
2000-02-05,309600.0
2000-02-06,361600.0
2000-02-07,303680.0
2000-02-08,188000.0
2000-02-09,232680.0
2000-02-10,226420.0
2000-02-11,367300.0
2000-02-14,321900.0
2000-02-15,332440.0
2000-02-16,350620.0
2000-02-17,482840.0
2000-02-18,322160.0
2000-02-21,303120.0
2000-02-22,230460.0
2000-02-23,321840.0
2000-02-24,359380.0
2000-02-25,361540.0
2000-02-28,317100.0
2000-02-29,315700.0
2000-03-01,267760.0
2000-03-02,337200.0
2000-03-03,322500.0
2000-03-04,239600.0
2000-03-05,372800.0
2000-03-06,292800.0
2000-03-07,334600.0
2000-03-08,343200.0
2000-03-09,333000.0
2000-03-10,329600.0
2000-03-11,296400.0
2000-03-13,350100.0
2000-03-14,348000.0
2000-03-15,288200.0
2000-03-16,
2000-03-17,
2000-03-20,248900.0
2000-03-21,299100.0
2000-03-22,333600.0
2000-03-23,270500.0
2000-03-24,323900.0
2000-03-27,245100.0
2000-03-28,297300.0
2000-03-29,259200.0
2000-03-30,278300.0
2000-03-31,357900.0
2000-04-01,221060.0
2000-04-02,411480.0
2000-04-03,239600.0
2000-04-04,223500.0
2000-04-05,335200.0
2000-04-06,299700.0
2000-04-07,429800.0
2000-04-08,199400.0
2000-04-09,288000.0
2000-04-10,318800.0
2000-04-11,345500.0
2000-04-12,261900.0
2000-04-13,287800.0
2000-04-14,433700.0
2000-04-17,235400.0
2000-04-18,286100.0
2000-04-19,293800.0
2000-04-20,299800.0
2000-04-21,329000.0
2000-04-24,216800.0
2000-04-25,258500.0
2000-04-26,282000.0
