Tarih,TP_AUIHRULKE_FAS
2018-03-01,2124.875
2018-04-01,532.5
2018-05-01,1589.125
2018-06-01,522.5
2018-07-01,2572.925
2018-08-01,1083.063
2018-09-01,2247.946
2018-10-01,3827.55
2018-11-01,980.0
2018-12-01,504.038
2019-01-01,5298.7
2019-02-01,0.0
2019-03-01,2215.065
2019-04-01,2072.75
2019-05-01,3726.813
2019-06-01,3802.3
2019-07-01,1540.88
2019-08-01,0.0
2019-09-01,1624.75
2019-10-01,3571.07
2019-11-01,2312.78
2019-12-01,4975.24
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,3535.935
2021-03-01,3029.23
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,5360.805
2021-07-01,938.8
2021-08-01,1143.92
2021-09-01,1141.34
2021-10-01,1707.21
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,1178.0
2022-02-01,1164.5
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,4581.576
2022-07-01,2430.93
2022-08-01,1616.229
2022-09-01,3545.543
2022-10-01,3787.536
2022-11-01,3038.351
2022-12-01,4226.141
2023-01-01,915.465
2023-02-01,5469.382
2023-03-01,6168.428
2023-04-01,2804.071
2023-05-01,7159.878
2023-06-01,6198.587
2023-07-01,5965.484
2023-08-01,4306.02
2023-09-01,2850.557
2023-10-01,5449.687
2023-11-01,4474.908
2023-12-01,7702.394
2024-01-01,6156.311
2024-02-01,3848.479
2024-03-01,0.0
2024-04-01,1127.498
2024-05-01,2700.0
2024-06-01,0.0
2024-07-01,2850.24
2024-08-01,405.0
2024-09-01,414.9
2024-10-01,852.42
2024-11-01,441.05
2024-12-01,2134.056
2025-01-01,1976.075
2025-02-01,933.165
2025-03-01,961.962
2025-04-01,967.643
2025-05-01,5145.647
2025-06-01,5623.051
2025-07-01,11563.581
2025-08-01,6155.02
