Tarih,TP_AUIHRULKE_BULG
2018-03-01,65.101
2018-04-01,0.0
2018-05-01,62.457
2018-06-01,62.987
2018-07-01,61.099
2018-08-01,58.637
2018-09-01,59.405
2018-10-01,80.559
2018-11-01,60.449
2018-12-01,161.747
2019-01-01,63.2
2019-02-01,86.037
2019-03-01,148.05
2019-04-01,83.025
2019-05-01,83.815
2019-06-01,86.921
2019-07-01,91.945
2019-08-01,71.94
2019-09-01,149.057
2019-10-01,74.034
2019-11-01,193.551
2019-12-01,95.083
2020-01-01,76.404
2020-02-01,180.686
2020-03-01,108.426
2020-04-01,1346.535
2020-05-01,0.0
2020-06-01,336.216
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,308.711
2020-11-01,913.322
2020-12-01,897.492
2021-01-01,893.131
2021-02-01,2131.754
2021-03-01,372.88
2021-04-01,671.613
2021-05-01,276.849
2021-06-01,213.806
2021-07-01,293.221
2021-08-01,492.611
2021-09-01,467.69
2021-10-01,1705.588
2021-11-01,476.842
2021-12-01,619.656
2022-01-01,413.011
2022-02-01,297.002
2022-03-01,734.429
2022-04-01,435.996
2022-05-01,942.577
2022-06-01,1546.905
2022-07-01,287.601
2022-08-01,583.135
2022-09-01,759.397
2022-10-01,0.0
2022-11-01,731.968
2022-12-01,350.348
2023-01-01,1021.4
2023-02-01,369.634
2023-03-01,391.165
2023-04-01,648.187
2023-05-01,589.93
2023-06-01,1274.754
2023-07-01,851.41
2023-08-01,554.395
2023-09-01,0.0
2023-10-01,1176.941
2023-11-01,653.399
2023-12-01,1109.767
2024-01-01,0.0
2024-02-01,803.139
2024-03-01,795.362
2024-04-01,1049.556
2024-05-01,0.0
2024-06-01,900.301
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,1402.45
2024-10-01,795.835
2024-11-01,0.239
2024-12-01,1745.324
2025-01-01,585.759
2025-02-01,1611.453
2025-03-01,1356.46
2025-04-01,0.0
2025-05-01,3041.9
2025-06-01,1374.878
2025-07-01,2746.243
2025-08-01,1000.86
