Tarih,TP_AUIHRULKE_BIRL
2018-02-01,24860.777
2018-03-01,30992.388
2018-04-01,48023.327
2018-05-01,56259.945
2018-06-01,56949.466
2018-07-01,75119.471
2018-08-01,100889.752
2018-09-01,78127.589
2018-10-01,105222.73
2018-11-01,18467.11
2018-12-01,39464.099
2019-01-01,32286.222
2019-02-01,63235.495
2019-03-01,69378.245
2019-04-01,42800.212
2019-05-01,96242.997
2019-06-01,10910.959
2019-07-01,16817.106
2019-08-01,16920.764
2019-09-01,28058.742
2019-10-01,18906.126
2019-11-01,23117.972
2019-12-01,22013.838
2020-01-01,47411.315
2020-02-01,13592.291
2020-03-01,11483.807
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,51351.247
2020-07-01,5930.921
2020-08-01,9718.0
2020-09-01,18095.924
2020-10-01,8270.46
2020-11-01,30342.909
2020-12-01,202553.881
2021-01-01,384551.876
2021-02-01,129118.744
2021-03-01,399373.021
2021-04-01,261317.41
2021-05-01,0.0
2021-06-01,14142.294
2021-07-01,32003.619
2021-08-01,24483.12
2021-09-01,13974.815
2021-10-01,61867.026
2021-11-01,208328.208
2021-12-01,205749.894
2022-01-01,31789.69
2022-02-01,65811.422
2022-03-01,33603.32
2022-04-01,3361.284
2022-05-01,12847.01
2022-06-01,50705.807
2022-07-01,16807.16
2022-08-01,55529.588
2022-09-01,25909.964
2022-10-01,28910.627
2022-11-01,28372.287
2022-12-01,46470.913
2023-01-01,25618.741
2023-02-01,83733.106
2023-03-01,142818.135
2023-04-01,51221.099
2023-05-01,80411.831
2023-06-01,161263.084
2023-07-01,262267.82
2023-08-01,222272.4
2023-09-01,470866.936
2023-10-01,519581.015
2023-11-01,674788.174
2023-12-01,330533.7
2024-01-01,52437.588
2024-02-01,86800.178
2024-03-01,70152.935
2024-04-01,149935.878
2024-05-01,100628.935
2024-06-01,118628.08
2024-07-01,455618.955
2024-08-01,387618.766
2024-09-01,57506.04
2024-10-01,49509.766
2024-11-01,72051.615
2024-12-01,66773.553
2025-01-01,85662.568
2025-02-01,58012.31
2025-03-01,58689.616
2025-04-01,61883.2
2025-05-01,70940.539
2025-06-01,60512.916
2025-07-01,93286.098
2025-08-01,83609.375
