Tarih,TP_AUIHRULKE_SIRB
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,41.48
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,24.696
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,220.275
2020-08-01,367.85
2020-09-01,286.191
2020-10-01,547.681
2020-11-01,533.784
2020-12-01,1116.363
2021-01-01,316.548
2021-02-01,193.862
2021-03-01,429.656
2021-04-01,179.616
2021-05-01,520.212
2021-06-01,368.487
2021-07-01,291.671
2021-08-01,528.456
2021-09-01,612.631
2021-10-01,387.125
2021-11-01,504.714
2021-12-01,319.241
2022-01-01,554.137
2022-02-01,717.514
2022-03-01,2980.29
2022-04-01,3493.183
2022-05-01,3511.955
2022-06-01,1612.399
2022-07-01,871.176
2022-08-01,996.817
2022-09-01,1237.269
2022-10-01,855.347
2022-11-01,1149.634
2022-12-01,813.817
2023-01-01,740.89
2023-02-01,1720.067
2023-03-01,467.042
2023-04-01,1083.765
2023-05-01,924.996
2023-06-01,515.986
2023-07-01,160.475
2023-08-01,387.556
2023-09-01,0.0
2023-10-01,570.025
2023-11-01,291.18
2023-12-01,292.62
2024-01-01,170.316
2024-02-01,116.56
2024-03-01,0.0
2024-04-01,701.442
2024-05-01,606.896
2024-06-01,325.461
2024-07-01,1270.271
2024-08-01,626.129
2024-09-01,405.872
2024-10-01,2729.268
2024-11-01,731.493
2024-12-01,503.868
2025-01-01,336.471
2025-02-01,863.478
2025-03-01,341.982
2025-04-01,1253.389
2025-05-01,729.727
2025-06-01,544.191
2025-07-01,812.099
2025-08-01,453.639
