Tarih,TP_AUIHRULKE_INGI
2018-02-01,8619.779
2018-03-01,137249.703
2018-04-01,62498.291
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,177166.877
2018-09-01,144570.455
2018-10-01,52146.195
2018-11-01,0.0
2018-12-01,20495.391
2019-01-01,71153.103
2019-02-01,21423.887
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,20750.619
2019-06-01,65737.344
2019-07-01,262999.424
2019-08-01,303476.576
2019-09-01,209598.351
2019-10-01,44595.941
2019-11-01,33418.865
2019-12-01,87329.231
2020-01-01,55698.941
2020-02-01,131513.349
2020-03-01,106518.389
2020-04-01,0.0
2020-05-01,82924.762
2020-06-01,331627.156
2020-07-01,136396.347
2020-08-01,252249.686
2020-09-01,46196.769
2020-10-01,335309.982
2020-11-01,112.244
2020-12-01,0.0
2021-01-01,15642.486
2021-02-01,0.191
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,226066.761
2021-06-01,77909.308
2021-07-01,172.11
2021-08-01,0.365
2021-09-01,0.0
2021-10-01,51049.225
2021-11-01,359757.832
2021-12-01,90800.801
2022-01-01,0.275
2022-02-01,15.57
2022-03-01,0.0
2022-04-01,0.299
2022-05-01,0.268
2022-06-01,0.922
2022-07-01,0.247
2022-08-01,0.262
2022-09-01,0.0
2022-10-01,0.213
2022-11-01,0.577
2022-12-01,0.458
2023-01-01,0.0
2023-02-01,0.364
2023-03-01,12794.189
2023-04-01,0.528
2023-05-01,0.206
2023-06-01,0.244
2023-07-01,0.217
2023-08-01,0.275
2023-09-01,6.309
2023-10-01,0.104
2023-11-01,0.501
2023-12-01,42165.338
2024-01-01,0.325
2024-02-01,0.767
2024-03-01,0.931
2024-04-01,197928.03
2024-05-01,285465.141
2024-06-01,0.586
2024-07-01,244790.294
2024-08-01,3.801
2024-09-01,78373.496
2024-10-01,4.469
2024-11-01,156583.635
2024-12-01,232889.843
2025-01-01,25735.18
2025-02-01,80780.102
2025-03-01,252562.594
2025-04-01,97791.076
2025-05-01,96523.77
2025-06-01,2.22
2025-07-01,108260.891
2025-08-01,267.471
