Tarih,TP_AUIHRULKE_ABDE
2018-03-01,108.963
2018-04-01,73.159
2018-05-01,321.098
2018-06-01,856.759
2018-07-01,1834.498
2018-08-01,3254.675
2018-09-01,1167.682
2018-10-01,6272.904
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,81.112
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,54.341
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,35.217
2020-03-01,114757.068
2020-04-01,83759.791
2020-05-01,346980.03
2020-06-01,0.0
2020-07-01,15728.61
2020-08-01,12070.527
2020-09-01,3851.856
2020-10-01,9520.781
2020-11-01,80.689
2020-12-01,9.537
2021-01-01,27.042
2021-02-01,14361.555
2021-03-01,20392.789
2021-04-01,23287.16
2021-05-01,10856.063
2021-06-01,14342.899
2021-07-01,2321.25
2021-08-01,2691.611
2021-09-01,8850.473
2021-10-01,9069.871
2021-11-01,8903.517
2021-12-01,11373.57
2022-01-01,12522.918
2022-02-01,9979.002
2022-03-01,24770.394
2022-04-01,25295.902
2022-05-01,22223.163
2022-06-01,10270.882
2022-07-01,17196.385
2022-08-01,20537.709
2022-09-01,20796.459
2022-10-01,39187.325
2022-11-01,38473.906
2022-12-01,13196.377
2023-01-01,8347.57
2023-02-01,9748.25
2023-03-01,29089.494
2023-04-01,62118.974
2023-05-01,45565.487
2023-06-01,29275.235
2023-07-01,17316.881
2023-08-01,17924.256
2023-09-01,6985.845
2023-10-01,11604.496
2023-11-01,8612.801
2023-12-01,3746.319
2024-01-01,907.619
2024-02-01,1330.345
2024-03-01,468.54
2024-04-01,1922.376
2024-05-01,5179.122
2024-06-01,3745.793
2024-07-01,5863.552
2024-08-01,323.873
2024-09-01,4271.984
2024-10-01,10685.686
2024-11-01,14152.333
2024-12-01,4805.349
2025-01-01,84121.26
2025-02-01,27543.144
2025-03-01,8885.612
2025-04-01,99.803
2025-05-01,2098.117
2025-06-01,57.334
2025-07-01,74.227
2025-08-01,3944.666
