Tarih,TP_AUIHRULKE_ALMA
2018-02-01,6139.563
2018-03-01,5492.157
2018-04-01,6355.697
2018-05-01,4098.846
2018-06-01,5183.224
2018-07-01,4400.465
2018-08-01,2223.958
2018-09-01,6063.249
2018-10-01,5542.238
2018-11-01,3378.773
2018-12-01,1457.749
2019-01-01,3296.322
2019-02-01,1322.06
2019-03-01,2527.707
2019-04-01,3293.759
2019-05-01,2305.392
2019-06-01,3012.438
2019-07-01,3090.468
2019-08-01,1380.266
2019-09-01,977.71
2019-10-01,1645.681
2019-11-01,1746.319
2019-12-01,3094.353
2020-01-01,972.796
2020-02-01,2246.35
2020-03-01,807.311
2020-04-01,2562.865
2020-05-01,1014.551
2020-06-01,2888.091
2020-07-01,1019.726
2020-08-01,1190.022
2020-09-01,3326.166
2020-10-01,1885.071
2020-11-01,509.128
2020-12-01,278.587
2021-01-01,1963.418
2021-02-01,2011.759
2021-03-01,1097.92
2021-04-01,0.568
2021-05-01,3.175
2021-06-01,183.36
2021-07-01,1144.57
2021-08-01,356.763
2021-09-01,12.809
2021-10-01,448.693
2021-11-01,307.297
2021-12-01,2016.436
2022-01-01,29.346
2022-02-01,136.868
2022-03-01,127.107
2022-04-01,598.819
2022-05-01,494.316
2022-06-01,1348.303
2022-07-01,90.377
2022-08-01,1562.101
2022-09-01,1048.879
2022-10-01,2150.169
2022-11-01,836.523
2022-12-01,380.129
2023-01-01,1328.003
2023-02-01,1567.874
2023-03-01,1771.667
2023-04-01,1250.389
2023-05-01,503.114
2023-06-01,234.547
2023-07-01,450.338
2023-08-01,81.723
2023-09-01,4805.563
2023-10-01,81.342
2023-11-01,186.43
2023-12-01,298.929
2024-01-01,1238.694
2024-02-01,151.47
2024-03-01,469.334
2024-04-01,488.554
2024-05-01,38.172
2024-06-01,87.25
2024-07-01,12.106
2024-08-01,109.515
2024-09-01,286.741
2024-10-01,737.22
2024-11-01,1361.107
2024-12-01,1254.615
2025-01-01,204.551
2025-02-01,101.684
2025-03-01,898.932
2025-04-01,10434.71
2025-05-01,52754.24
2025-06-01,854.209
2025-07-01,1.181
2025-08-01,1033.577
