Tarih,TP_DYVD_D26
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,182417280.0
2012-02-01,184098087.08
2012-03-01,186538211.56
2012-04-01,196028516.94
2012-05-01,205012093.07
2012-06-01,204238598.1
2012-07-01,202517598.2
2012-08-01,211254425.6
2012-09-01,209001742.2
2012-10-01,213348307.4
2012-11-01,215601152.2
2012-12-01,220943755.2
2013-01-01,226697919.4
2013-02-01,234159589.7
2013-03-01,249254339.5
2013-04-01,259614250.5
2013-05-01,271797822.9
2013-06-01,286924318.6
2013-07-01,290894063.7
2013-08-01,313790908.2
2013-09-01,315135917.2
2013-10-01,311617611.6
2013-11-01,324579003.5
2013-12-01,352256996.6
2014-01-01,366751226.4
2014-02-01,358527934.6
2014-03-01,353353195.3
2014-04-01,354698096.4
2014-05-01,355512180.5
2014-06-01,361933709.0
2014-07-01,365490334.03
2014-08-01,371922518.3
2014-09-01,398883834.8
2014-10-01,397098575.7
2014-11-01,402811641.1
2014-12-01,416423511.4
2015-01-01,441316037.7
2015-02-01,448543151.7
2015-03-01,473119229.84
2015-04-01,494714333.35
2015-05-01,493488281.55
2015-06-01,499820974.22
2015-07-01,520263790.13
2015-08-01,545989493.61
2015-09-01,564439935.55
2015-10-01,464899347.72
2015-11-01,532621401.75
2015-12-01,533227080.71
2016-01-01,510573856.38
