Tarih,TP_DYVD_D17
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,5147353.0
2012-02-01,4581126.0
2012-03-01,4032023.0
2012-04-01,4123091.0
2012-05-01,4145268.0
2012-06-01,4033325.0
2012-07-01,4868898.0
2012-08-01,4271208.0
2012-09-01,4723569.0
2012-10-01,4535479.0
2012-11-01,4858597.0
2012-12-01,4600908.0
2013-01-01,5157474.0
2013-02-01,4501066.0
2013-03-01,4257338.0
2013-04-01,4361543.0
2013-05-01,4063153.0
2013-06-01,4717505.0
2013-07-01,4478845.0
2013-08-01,7317814.0
2013-09-01,6058212.0
2013-10-01,4663133.0
2013-11-01,4289469.0
2013-12-01,7018778.0
2014-01-01,9814817.0
2014-02-01,7676379.0
2014-03-01,7907607.0
2014-04-01,6535251.0
2014-05-01,6181606.0
2014-06-01,5680222.0
2014-07-01,5552019.0
2014-08-01,5583411.0
2014-09-01,7266862.0
2014-10-01,7807517.0
2014-11-01,7294880.0
2014-12-01,6695854.0
2015-01-01,10098626.0
2015-02-01,8567099.0
2015-03-01,10354540.0
2015-04-01,9882446.0
2015-05-01,9372908.0
2015-06-01,9178809.0
2015-07-01,8647489.0
2015-08-01,11997550.0
2015-09-01,13556040.0
2015-10-01,10789189.0
2015-11-01,9995009.0
2015-12-01,8568140.0
2016-01-01,9519955.0
