Tarih,TP_KKP_EUR_KTF17
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,4.21
2018-02-01,4.22
2018-03-01,4.24
2018-04-01,4.24
2018-05-01,4.21
2018-06-01,4.43
2018-07-01,4.48
2018-08-01,4.62
2018-09-01,4.73
2018-10-01,4.92
2018-11-01,5.05
2018-12-01,5.11
2019-01-01,5.19
2019-02-01,5.18
2019-03-01,5.16
2019-04-01,5.06
2019-05-01,5.03
2019-06-01,5.01
2019-07-01,4.92
2019-08-01,4.84
2019-09-01,4.73
2019-10-01,4.59
2019-11-01,4.36
2019-12-01,4.27
2020-01-01,4.09
2020-02-01,4.01
2020-03-01,3.77
2020-04-01,3.72
2020-05-01,3.69
2020-06-01,3.66
2020-07-01,3.54
2020-08-01,3.53
2020-09-01,3.58
2020-10-01,3.59
2020-11-01,3.63
2020-12-01,3.66
2021-01-01,3.61
2021-02-01,3.55
2021-03-01,3.52
2021-04-01,3.47
2021-05-01,3.45
2021-06-01,3.41
2021-07-01,3.46
2021-08-01,3.42
2021-09-01,3.39
2021-10-01,3.37
2021-11-01,3.4
2021-12-01,3.45
2022-01-01,3.51
2022-02-01,3.58
2022-03-01,3.64
2022-04-01,3.74
2022-05-01,3.8
2022-06-01,3.94
2022-07-01,4.24
2022-08-01,4.53
2022-09-01,4.81
2022-10-01,5.03
2022-11-01,5.25
2022-12-01,5.42
2023-01-01,5.57
2023-02-01,5.7
2023-03-01,5.83
2023-04-01,5.94
2023-05-01,6.2
2023-06-01,6.4
2023-07-01,6.59
2023-08-01,6.76
2023-09-01,6.92
2023-10-01,7.08
2023-11-01,7.28
2023-12-01,7.47
2024-01-01,7.47
2024-02-01,7.42
2024-03-01,7.28
2024-04-01,6.81
2024-05-01,6.87
2024-06-01,6.93
2024-07-01,6.98
2024-08-01,6.97
2024-09-01,6.92
2024-10-01,6.81
2024-11-01,6.74
2024-12-01,6.93
2025-01-01,6.9
2025-02-01,6.88
2025-03-01,6.91
2025-04-01,7.04
2025-05-01,7.15
2025-06-01,7.24
2025-07-01,7.3
2025-08-01,7.32
