Tarih,TP_BKR_TRY_17
2016-12-01,14.68
2017-01-01,14.63
2017-02-01,14.8
2017-03-01,14.88
2017-04-01,15.05
2017-05-01,14.97
2017-06-01,15.05
2017-07-01,15.13
2017-08-01,15.25
2017-09-01,15.39
2017-10-01,15.41
2017-11-01,15.35
2017-12-01,15.31
2018-01-01,15.5
2018-02-01,15.68
2018-03-01,15.6
2018-04-01,16.07
2018-05-01,16.36
2018-06-01,16.7
2018-07-01,17.14
2018-08-01,17.55
2018-09-01,17.94
2018-10-01,18.36
2018-11-01,19.53
2018-12-01,20.21
2019-01-01,20.59
2019-02-01,20.84
2019-03-01,21.01
2019-04-01,21.26
2019-05-01,21.65
2019-06-01,21.96
2019-07-01,22.25
2019-08-01,22.34
2019-09-01,22.06
2019-10-01,20.93
2019-11-01,19.91
2019-12-01,18.72
2020-01-01,18.27
2020-02-01,17.54
2020-03-01,17.17
2020-04-01,16.95
2020-05-01,16.59
2020-06-01,15.26
2020-07-01,14.39
2020-08-01,14.29
2020-09-01,14.44
2020-10-01,14.73
2020-11-01,15.4
2020-12-01,15.34
2021-01-01,15.56
2021-02-01,15.95
2021-03-01,16.49
2021-04-01,16.98
2021-05-01,17.29
2021-06-01,17.81
2021-07-01,18.04
2021-08-01,18.25
2021-09-01,18.18
2021-10-01,18.4
2021-11-01,18.66
2021-12-01,18.79
2022-01-01,19.06
2022-02-01,19.19
2022-03-01,20.71
2022-04-01,21.61
2022-05-01,22.05
2022-06-01,23.18
2022-07-01,23.76
2022-08-01,24.36
2022-09-01,24.64
2022-10-01,24.8
2022-11-01,24.27
2022-12-01,24.83
2023-01-01,24.81
2023-02-01,23.84
2023-03-01,23.88
2023-04-01,24.12
2023-05-01,24.34
2023-06-01,24.87
2023-07-01,25.95
2023-08-01,26.73
2023-09-01,27.23
2023-10-01,28.66
2023-11-01,29.16
2023-12-01,29.18
2024-01-01,29.12
2024-02-01,29.85
2024-03-01,30.43
2024-04-01,30.04
2024-05-01,30.84
2024-06-01,29.45
2024-07-01,29.98
2024-08-01,30.5
2024-09-01,30.86
2024-10-01,31.23
2024-11-01,31.58
2024-12-01,31.45
2025-01-01,31.07
2025-02-01,33.16
2025-03-01,33.23
2025-04-01,33.83
2025-05-01,34.25
2025-06-01,34.68
2025-07-01,34.74
2025-08-01,34.79
