Tarih,TP_BKR_USD_1
2016-12-01,5.36
2017-01-01,5.43
2017-02-01,5.54
2017-03-01,5.53
2017-04-01,5.53
2017-05-01,5.61
2017-06-01,5.61
2017-07-01,5.76
2017-08-01,5.78
2017-09-01,5.8
2017-10-01,5.8
2017-11-01,5.85
2017-12-01,5.94
2018-01-01,6.0
2018-02-01,6.04
2018-03-01,6.08
2018-04-01,6.18
2018-05-01,6.32
2018-06-01,6.45
2018-07-01,6.47
2018-08-01,6.58
2018-09-01,6.72
2018-10-01,6.78
2018-11-01,6.94
2018-12-01,7.11
2019-01-01,7.15
2019-02-01,7.2
2019-03-01,7.19
2019-04-01,7.21
2019-05-01,7.2
2019-06-01,7.09
2019-07-01,7.06
2019-08-01,7.02
2019-09-01,7.03
2019-10-01,6.97
2019-11-01,6.83
2019-12-01,6.74
2020-01-01,6.69
2020-02-01,6.66
2020-03-01,6.54
2020-04-01,6.43
2020-05-01,6.24
2020-06-01,5.92
2020-07-01,5.84
2020-08-01,5.8
2020-09-01,5.77
2020-10-01,5.71
2020-11-01,5.64
2020-12-01,5.51
2021-01-01,5.44
2021-02-01,5.41
2021-03-01,5.35
2021-04-01,5.34
2021-05-01,5.32
2021-06-01,5.28
2021-07-01,5.23
2021-08-01,5.18
2021-09-01,5.1
2021-10-01,5.08
2021-11-01,5.1
2021-12-01,5.18
2022-01-01,5.23
2022-02-01,5.25
2022-03-01,5.36
2022-04-01,5.54
2022-05-01,5.84
2022-06-01,6.27
2022-07-01,6.52
2022-08-01,6.77
2022-09-01,7.29
2022-10-01,7.44
2022-11-01,7.94
2022-12-01,8.31
2023-01-01,8.48
2023-02-01,8.58
2023-03-01,8.76
2023-04-01,8.79
2023-05-01,8.94
2023-06-01,9.09
2023-07-01,9.18
2023-08-01,9.25
2023-09-01,9.31
2023-10-01,9.37
2023-11-01,9.38
2023-12-01,9.4
2024-01-01,9.34
2024-02-01,9.22
2024-03-01,9.11
2024-04-01,9.02
2024-05-01,8.93
2024-06-01,8.9
2024-07-01,8.85
2024-08-01,8.78
2024-09-01,8.72
2024-10-01,8.58
2024-11-01,8.43
2024-12-01,8.28
2025-01-01,8.16
2025-02-01,8.11
2025-03-01,8.08
2025-04-01,8.1
2025-05-01,8.02
2025-06-01,8.02
2025-07-01,8.03
2025-08-01,8.02
