Tarih,TP_BKR_TRY_18
2016-12-01,11.84
2017-01-01,11.83
2017-02-01,11.81
2017-03-01,11.77
2017-04-01,11.67
2017-05-01,11.76
2017-06-01,11.76
2017-07-01,11.75
2017-08-01,11.78
2017-09-01,11.81
2017-10-01,11.85
2017-11-01,11.9
2017-12-01,11.95
2018-01-01,12.0
2018-02-01,12.06
2018-03-01,12.15
2018-04-01,12.21
2018-05-01,12.25
2018-06-01,12.3
2018-07-01,12.39
2018-08-01,12.46
2018-09-01,12.55
2018-10-01,12.61
2018-11-01,12.67
2018-12-01,12.73
2019-01-01,12.78
2019-02-01,12.84
2019-03-01,12.93
2019-04-01,13.02
2019-05-01,13.12
2019-06-01,13.17
2019-07-01,13.23
2019-08-01,13.22
2019-09-01,13.18
2019-10-01,12.82
2019-11-01,12.78
2019-12-01,12.73
2020-01-01,12.66
2020-02-01,12.58
2020-03-01,12.52
2020-04-01,12.49
2020-05-01,12.46
2020-06-01,12.02
2020-07-01,11.62
2020-08-01,11.54
2020-09-01,11.61
2020-10-01,11.67
2020-11-01,11.74
2020-12-01,11.78
2021-01-01,11.83
2021-02-01,11.92
2021-03-01,12.03
2021-04-01,12.12
2021-05-01,12.18
2021-06-01,12.33
2021-07-01,12.43
2021-08-01,12.57
2021-09-01,12.72
2021-10-01,12.86
2021-11-01,13.04
2021-12-01,13.23
2022-01-01,13.34
2022-02-01,13.25
2022-03-01,13.45
2022-04-01,13.69
2022-05-01,13.93
2022-06-01,14.2
2022-07-01,14.3
2022-08-01,14.43
2022-09-01,14.55
2022-10-01,14.66
2022-11-01,14.79
2022-12-01,14.96
2023-01-01,15.11
2023-02-01,15.25
2023-03-01,15.45
2023-04-01,15.64
2023-05-01,15.82
2023-06-01,15.96
2023-07-01,16.31
2023-08-01,16.78
2023-09-01,17.02
2023-10-01,17.22
2023-11-01,17.44
2023-12-01,17.68
2024-01-01,17.97
2024-02-01,18.41
2024-03-01,19.08
2024-04-01,19.48
2024-05-01,20.03
2024-06-01,20.38
2024-07-01,20.96
2024-08-01,21.61
2024-09-01,22.39
2024-10-01,23.35
2024-11-01,24.24
2024-12-01,25.1
2025-01-01,25.72
2025-02-01,26.26
2025-03-01,26.75
2025-04-01,27.24
2025-05-01,27.86
2025-06-01,28.35
2025-07-01,28.89
2025-08-01,29.37
