Tarih,TP_BKR_TRY_KTFTUK01
2016-12-01,14.6
2017-01-01,14.53
2017-02-01,14.55
2017-03-01,14.51
2017-04-01,14.53
2017-05-01,14.66
2017-06-01,14.69
2017-07-01,14.76
2017-08-01,14.76
2017-09-01,14.82
2017-10-01,14.94
2017-11-01,15.03
2017-12-01,15.05
2018-01-01,15.2
2018-02-01,15.32
2018-03-01,15.58
2018-04-01,15.7
2018-05-01,15.76
2018-06-01,15.9
2018-07-01,16.0
2018-08-01,16.4
2018-09-01,16.76
2018-10-01,17.25
2018-11-01,17.44
2018-12-01,17.77
2019-01-01,18.04
2019-02-01,18.21
2019-03-01,18.31
2019-04-01,18.45
2019-05-01,18.7
2019-06-01,18.97
2019-07-01,19.1
2019-08-01,19.03
2019-09-01,18.65
2019-10-01,17.86
2019-11-01,17.44
2019-12-01,16.98
2020-01-01,16.5
2020-02-01,16.07
2020-03-01,15.75
2020-04-01,15.15
2020-05-01,14.73
2020-06-01,14.16
2020-07-01,13.65
2020-08-01,13.62
2020-09-01,13.68
2020-10-01,13.78
2020-11-01,13.99
2020-12-01,14.28
2021-01-01,14.59
2021-02-01,14.91
2021-03-01,15.21
2021-04-01,15.48
2021-05-01,15.76
2021-06-01,16.1
2021-07-01,16.35
2021-08-01,16.62
2021-09-01,16.91
2021-10-01,17.14
2021-11-01,17.38
2021-12-01,17.67
2022-01-01,18.1
2022-02-01,18.31
2022-03-01,18.75
2022-04-01,19.14
2022-05-01,19.7
2022-06-01,20.33
2022-07-01,20.87
2022-08-01,21.41
2022-09-01,21.8
2022-10-01,22.09
2022-11-01,22.36
2022-12-01,22.67
2023-01-01,23.05
2023-02-01,22.76
2023-03-01,22.98
2023-04-01,23.24
2023-05-01,23.8
2023-06-01,24.46
2023-07-01,26.25
2023-08-01,28.79
2023-09-01,31.44
2023-10-01,34.06
2023-11-01,36.32
2023-12-01,38.17
2024-01-01,40.01
2024-02-01,41.69
2024-03-01,43.9
2024-04-01,47.97
2024-05-01,49.97
2024-06-01,51.77
2024-07-01,53.58
2024-08-01,55.03
2024-09-01,55.96
2024-10-01,56.62
2024-11-01,57.11
2024-12-01,57.54
2025-01-01,57.73
2025-02-01,58.41
2025-03-01,58.16
2025-04-01,59.12
2025-05-01,59.88
2025-06-01,60.58
2025-07-01,60.63
2025-08-01,59.56
