Tarih,TP_BKR_TRY_KTF10
2016-12-01,16.65
2017-01-01,16.59
2017-02-01,16.64
2017-03-01,16.64
2017-04-01,16.83
2017-05-01,16.97
2017-06-01,17.05
2017-07-01,17.13
2017-08-01,17.11
2017-09-01,17.14
2017-10-01,17.33
2017-11-01,17.44
2017-12-01,17.47
2018-01-01,17.67
2018-02-01,17.82
2018-03-01,18.26
2018-04-01,18.39
2018-05-01,18.46
2018-06-01,18.75
2018-07-01,18.82
2018-08-01,19.32
2018-09-01,19.93
2018-10-01,20.53
2018-11-01,20.8
2018-12-01,21.33
2019-01-01,21.78
2019-02-01,21.99
2019-03-01,22.0
2019-04-01,22.28
2019-05-01,22.7
2019-06-01,23.04
2019-07-01,23.3
2019-08-01,23.17
2019-09-01,22.52
2019-10-01,21.7
2019-11-01,20.86
2019-12-01,19.99
2020-01-01,19.27
2020-02-01,18.47
2020-03-01,17.92
2020-04-01,16.86
2020-05-01,16.1
2020-06-01,15.49
2020-07-01,14.97
2020-08-01,14.97
2020-09-01,15.02
2020-10-01,15.15
2020-11-01,15.41
2020-12-01,15.65
2021-01-01,15.96
2021-02-01,16.29
2021-03-01,16.68
2021-04-01,17.05
2021-05-01,17.38
2021-06-01,17.81
2021-07-01,18.13
2021-08-01,18.46
2021-09-01,18.85
2021-10-01,19.13
2021-11-01,19.46
2021-12-01,20.01
2022-01-01,20.7
2022-02-01,21.15
2022-03-01,21.77
2022-04-01,22.32
2022-05-01,23.03
2022-06-01,23.93
2022-07-01,24.75
2022-08-01,25.59
2022-09-01,26.17
2022-10-01,26.63
2022-11-01,27.05
2022-12-01,27.42
2023-01-01,27.88
2023-02-01,27.78
2023-03-01,27.98
2023-04-01,28.4
2023-05-01,29.3
2023-06-01,30.33
2023-07-01,32.04
2023-08-01,33.77
2023-09-01,36.13
2023-10-01,38.68
2023-11-01,41.08
2023-12-01,43.72
2024-01-01,46.46
2024-02-01,48.65
2024-03-01,51.82
2024-04-01,55.56
2024-05-01,58.56
2024-06-01,60.86
2024-07-01,63.12
2024-08-01,64.92
2024-09-01,65.96
2024-10-01,66.69
2024-11-01,67.31
2024-12-01,67.71
2025-01-01,67.76
2025-02-01,68.77
2025-03-01,68.33
2025-04-01,69.1
2025-05-01,70.02
2025-06-01,70.47
2025-07-01,70.17
2025-08-01,69.49
