Tarih,TP_BKR_TRY_KTFTUK
2016-12-01,14.27
2017-01-01,14.22
2017-02-01,14.25
2017-03-01,14.22
2017-04-01,14.24
2017-05-01,14.37
2017-06-01,14.42
2017-07-01,14.46
2017-08-01,14.49
2017-09-01,14.52
2017-10-01,14.64
2017-11-01,14.73
2017-12-01,14.75
2018-01-01,14.89
2018-02-01,15.01
2018-03-01,15.28
2018-04-01,15.4
2018-05-01,15.46
2018-06-01,15.61
2018-07-01,15.7
2018-08-01,16.01
2018-09-01,16.35
2018-10-01,16.68
2018-11-01,16.86
2018-12-01,17.17
2019-01-01,17.45
2019-02-01,17.64
2019-03-01,17.76
2019-04-01,17.97
2019-05-01,18.26
2019-06-01,18.5
2019-07-01,18.72
2019-08-01,18.67
2019-09-01,18.3
2019-10-01,17.72
2019-11-01,17.29
2019-12-01,16.83
2020-01-01,16.44
2020-02-01,15.99
2020-03-01,15.66
2020-04-01,15.11
2020-05-01,14.68
2020-06-01,14.1
2020-07-01,13.58
2020-08-01,13.55
2020-09-01,13.6
2020-10-01,13.71
2020-11-01,13.89
2020-12-01,14.06
2021-01-01,14.27
2021-02-01,14.51
2021-03-01,14.81
2021-04-01,15.09
2021-05-01,15.32
2021-06-01,15.66
2021-07-01,15.91
2021-08-01,16.17
2021-09-01,16.48
2021-10-01,16.7
2021-11-01,16.96
2021-12-01,17.36
2022-01-01,17.8
2022-02-01,18.04
2022-03-01,18.49
2022-04-01,18.93
2022-05-01,19.5
2022-06-01,20.16
2022-07-01,20.72
2022-08-01,21.29
2022-09-01,21.76
2022-10-01,22.17
2022-11-01,22.59
2022-12-01,23.05
2023-01-01,23.49
2023-02-01,23.47
2023-03-01,23.66
2023-04-01,23.94
2023-05-01,24.49
2023-06-01,25.2
2023-07-01,26.47
2023-08-01,27.76
2023-09-01,29.34
2023-10-01,31.11
2023-11-01,32.78
2023-12-01,34.67
2024-01-01,36.61
2024-02-01,38.43
2024-03-01,40.72
2024-04-01,43.24
2024-05-01,45.42
2024-06-01,47.12
2024-07-01,48.89
2024-08-01,50.38
2024-09-01,51.26
2024-10-01,51.95
2024-11-01,52.54
2024-12-01,52.98
2025-01-01,53.17
2025-02-01,54.15
2025-03-01,54.06
2025-04-01,54.8
2025-05-01,55.73
2025-06-01,56.37
2025-07-01,56.5
2025-08-01,56.28
