Tarih,TP_IYA_FOBE2_S20_X
2015-06-01,205.0
2015-07-01,188.0
2015-08-01,198.0
2015-09-01,197.0
2015-10-01,195.0
2015-11-01,194.0
2015-12-01,192.0
2016-01-01,190.0
2016-02-01,188.0
2016-03-01,187.0
2016-04-01,194.0
2016-05-01,188.0
2016-06-01,185.0
2016-07-01,189.0
2016-08-01,193.0
2016-09-01,195.0
2016-10-01,189.0
2016-11-01,194.0
2016-12-01,195.0
2017-01-01,196.0
2017-02-01,193.0
2017-03-01,200.0
2017-04-01,189.0
2017-05-01,199.0
2017-06-01,197.0
2017-07-01,200.0
2017-08-01,194.0
2017-09-01,191.0
2017-10-01,205.0
2017-11-01,204.0
2017-12-01,205.0
2018-01-01,201.0
2018-02-01,205.0
2018-03-01,204.0
2018-04-01,201.0
2018-05-01,205.0
2018-06-01,199.0
2018-07-01,200.0
2018-08-01,192.0
2018-09-01,199.0
2018-10-01,197.0
2018-11-01,200.0
2018-12-01,198.0
2019-01-01,153.0
2019-02-01,158.0
2019-03-01,154.0
2019-04-01,153.0
2019-05-01,152.0
2019-06-01,153.0
2019-07-01,146.0
2019-08-01,155.0
2019-09-01,159.0
2019-10-01,154.0
2019-11-01,156.0
2019-12-01,155.0
2020-01-01,145.0
2020-02-01,155.0
2020-03-01,155.0
2020-04-01,152.0
2020-05-01,152.0
2020-06-01,156.0
2020-07-01,154.0
2020-08-01,151.0
2020-09-01,149.0
2020-10-01,148.0
2020-11-01,151.0
2020-12-01,156.0
2021-01-01,144.0
2021-02-01,153.0
2021-03-01,149.0
2021-04-01,151.0
2021-05-01,150.0
2021-06-01,153.0
2021-07-01,139.0
2021-08-01,150.0
2021-09-01,151.0
2021-10-01,149.0
2021-11-01,148.0
2021-12-01,149.0
2022-01-01,143.0
2022-02-01,138.0
2022-03-01,144.0
2022-04-01,145.0
2022-05-01,139.0
2022-06-01,143.0
2022-07-01,142.0
2022-08-01,141.0
2022-09-01,144.0
2022-10-01,143.0
2022-11-01,140.0
2022-12-01,140.0
2023-01-01,142.0
2023-02-01,132.0
2023-03-01,135.0
2023-04-01,136.0
2023-05-01,140.0
2023-06-01,139.0
2023-07-01,143.0
2023-08-01,138.0
2023-09-01,137.0
2023-10-01,138.0
2023-11-01,134.0
2023-12-01,137.0
2024-01-01,135.0
2024-02-01,137.0
2024-03-01,134.0
2024-04-01,131.0
2024-05-01,142.0
2024-06-01,140.0
2024-07-01,142.0
2024-08-01,141.0
2024-09-01,138.0
2024-10-01,140.0
2024-11-01,143.0
2024-12-01,141.0
2025-01-01,139.0
2025-02-01,140.0
2025-03-01,138.0
2025-04-01,134.0
2025-05-01,141.0
2025-06-01,140.0
2025-07-01,140.0
2025-08-01,142.0
2025-09-01,144.0
