Tarih,TP_IN_KL2_TOPTAN_OZE_A
2016-03-01,434.0
2016-04-01,401.0
2016-05-01,441.0
2016-06-01,427.0
2016-07-01,252.0
2016-08-01,355.0
2016-09-01,246.0
2016-10-01,317.0
2016-11-01,299.0
2016-12-01,332.0
2017-01-01,290.0
2017-02-01,258.0
2017-03-01,326.0
2017-04-01,289.0
2017-05-01,407.0
2017-06-01,339.0
2017-07-01,383.0
2017-08-01,317.0
2017-09-01,262.0
2017-10-01,332.0
2017-11-01,305.0
2017-12-01,556.0
2018-01-01,347.0
2018-02-01,268.0
2018-03-01,318.0
2018-04-01,281.0
2018-05-01,306.0
2018-06-01,247.0
2018-07-01,494.0
2018-08-01,344.0
2018-09-01,341.0
2018-10-01,520.0
2018-11-01,521.0
2018-12-01,658.0
2019-01-01,369.0
2019-02-01,353.0
2019-03-01,646.0
2019-04-01,379.0
2019-05-01,314.0
2019-06-01,120.0
2019-07-01,277.0
2019-08-01,232.0
2019-09-01,266.0
2019-10-01,280.0
2019-11-01,250.0
2019-12-01,384.0
2020-01-01,270.0
2020-02-01,129.0
2020-03-01,155.0
2020-04-01,158.0
2020-05-01,169.0
2020-06-01,248.0
2020-07-01,285.0
2020-08-01,209.0
2020-09-01,188.0
2020-10-01,177.0
2020-11-01,165.0
2020-12-01,333.0
2021-01-01,274.0
2021-02-01,264.0
2021-03-01,235.0
2021-04-01,154.0
2021-05-01,111.0
2021-06-01,243.0
2021-07-01,183.0
2021-08-01,195.0
2021-09-01,174.0
2021-10-01,201.0
2021-11-01,189.0
2021-12-01,469.0
2022-01-01,156.0
2022-02-01,165.0
2022-03-01,156.0
2022-04-01,222.0
2022-05-01,130.0
2022-06-01,220.0
2022-07-01,149.0
2022-08-01,158.0
2022-09-01,149.0
2022-10-01,152.0
2022-11-01,186.0
2022-12-01,349.0
2023-01-01,181.0
2023-02-01,117.0
2023-03-01,142.0
2023-04-01,126.0
2023-05-01,139.0
2023-06-01,113.0
2023-07-01,109.0
2023-08-01,154.0
2023-09-01,159.0
2023-10-01,155.0
2023-11-01,133.0
2023-12-01,282.0
2024-01-01,154.0
2024-02-01,147.0
2024-03-01,264.0
2024-04-01,98.0
2024-05-01,118.0
2024-06-01,113.0
2024-07-01,139.0
2024-08-01,141.0
2024-09-01,126.0
2024-10-01,151.0
2024-11-01,156.0
2024-12-01,267.0
2025-01-01,150.0
2025-02-01,269.0
2025-03-01,159.0
2025-04-01,121.0
2025-05-01,138.0
2025-06-01,143.0
