Tarih,TP_IN_KL2_EV_TOP_A
2015-09-01,1332.0
2015-10-01,1619.0
2015-11-01,1755.0
2015-12-01,2121.0
2016-01-01,1265.0
2016-02-01,1304.0
2016-03-01,1393.0
2016-04-01,1431.0
2016-05-01,1895.0
2016-06-01,2149.0
2016-07-01,1304.0
2016-08-01,1913.0
2016-09-01,1358.0
2016-10-01,1649.0
2016-11-01,1935.0
2016-12-01,2329.0
2017-01-01,1560.0
2017-02-01,1246.0
2017-03-01,1588.0
2017-04-01,1592.0
2017-05-01,1729.0
2017-06-01,1722.0
2017-07-01,1895.0
2017-08-01,1893.0
2017-09-01,1907.0
2017-10-01,1977.0
2017-11-01,1982.0
2017-12-01,2034.0
2018-01-01,1542.0
2018-02-01,1363.0
2018-03-01,1472.0
2018-04-01,1540.0
2018-05-01,1947.0
2018-06-01,1759.0
2018-07-01,2183.0
2018-08-01,1661.0
2018-09-01,1808.0
2018-10-01,1960.0
2018-11-01,2316.0
2018-12-01,2464.0
2019-01-01,1406.0
2019-02-01,1307.0
2019-03-01,2374.0
2019-04-01,1143.0
2019-05-01,1315.0
2019-06-01,944.0
2019-07-01,1323.0
2019-08-01,1071.0
2019-09-01,1204.0
2019-10-01,1246.0
2019-11-01,1391.0
2019-12-01,1587.0
2020-01-01,1179.0
2020-02-01,905.0
2020-03-01,1009.0
2020-04-01,937.0
2020-05-01,869.0
2020-06-01,1614.0
2020-07-01,2056.0
2020-08-01,1477.0
2020-09-01,1634.0
2020-10-01,2107.0
2020-11-01,1813.0
2020-12-01,2719.0
2021-01-01,1670.0
2021-02-01,1738.0
2021-03-01,1976.0
2021-04-01,1974.0
2021-05-01,1315.0
2021-06-01,2326.0
2021-07-01,2222.0
2021-08-01,2531.0
2021-09-01,2504.0
2021-10-01,2634.0
2021-11-01,2573.0
2021-12-01,4191.0
2022-01-01,2211.0
2022-02-01,1889.0
2022-03-01,2552.0
2022-04-01,2581.0
2022-05-01,1939.0
2022-06-01,2751.0
2022-07-01,2253.0
2022-08-01,3290.0
2022-09-01,2928.0
2022-10-01,3166.0
2022-11-01,3072.0
2022-12-01,4914.0
2023-01-01,3420.0
2023-02-01,1905.0
2023-03-01,2091.0
2023-04-01,1938.0
2023-05-01,2537.0
2023-06-01,2248.0
2023-07-01,2417.0
2023-08-01,2894.0
2023-09-01,2418.0
2023-10-01,2673.0
2023-11-01,2577.0
2023-12-01,4791.0
2024-01-01,3452.0
2024-02-01,2799.0
2024-03-01,5228.0
2024-04-01,2049.0
2024-05-01,2390.0
2024-06-01,1764.0
2024-07-01,2458.0
2024-08-01,2683.0
2024-09-01,2709.0
2024-10-01,2876.0
2024-11-01,2977.0
2024-12-01,5567.0
2025-01-01,2911.0
2025-02-01,2200.0
2025-03-01,2035.0
2025-04-01,1650.0
2025-05-01,2237.0
2025-06-01,2718.0
