Tarih,TP_IN_KL2_APT_DEV_A
2016-04-01,160.0
2016-05-01,131.0
2016-06-01,133.0
2016-07-01,112.0
2016-08-01,271.0
2016-09-01,133.0
2016-10-01,129.0
2016-11-01,333.0
2016-12-01,129.0
2017-01-01,113.0
2017-02-01,122.0
2017-03-01,242.0
2017-04-01,120.0
2017-05-01,124.0
2017-06-01,69.0
2017-07-01,116.0
2017-08-01,80.0
2017-09-01,110.0
2017-10-01,276.0
2017-11-01,201.0
2017-12-01,189.0
2018-01-01,292.0
2018-02-01,119.0
2018-03-01,225.0
2018-04-01,206.0
2018-05-01,525.0
2018-06-01,253.0
2018-07-01,195.0
2018-08-01,103.0
2018-09-01,288.0
2018-10-01,152.0
2018-11-01,333.0
2018-12-01,415.0
2019-01-01,278.0
2019-02-01,303.0
2019-03-01,436.0
2019-04-01,247.0
2019-05-01,163.0
2019-06-01,72.0
2019-07-01,347.0
2019-08-01,279.0
2019-09-01,166.0
2019-10-01,115.0
2019-11-01,189.0
2019-12-01,268.0
2020-01-01,182.0
2020-02-01,355.0
2020-03-01,327.0
2020-04-01,115.0
2020-05-01,105.0
2020-06-01,197.0
2020-07-01,132.0
2020-08-01,239.0
2020-09-01,173.0
2020-10-01,187.0
2020-11-01,80.0
2020-12-01,256.0
2021-01-01,79.0
2021-02-01,121.0
2021-03-01,493.0
2021-04-01,110.0
2021-05-01,85.0
2021-06-01,150.0
2021-07-01,72.0
2021-08-01,168.0
2021-09-01,138.0
2021-10-01,291.0
2021-11-01,153.0
2021-12-01,157.0
2022-01-01,325.0
2022-02-01,253.0
2022-03-01,184.0
2022-04-01,383.0
2022-05-01,163.0
2022-06-01,154.0
2022-07-01,176.0
2022-08-01,136.0
2022-09-01,111.0
2022-10-01,271.0
2022-11-01,339.0
2022-12-01,323.0
2023-01-01,349.0
2023-02-01,370.0
2023-03-01,491.0
2023-04-01,385.0
2023-05-01,261.0
2023-06-01,136.0
2023-07-01,121.0
2023-08-01,165.0
2023-09-01,208.0
2023-10-01,49.0
2023-11-01,173.0
2023-12-01,532.0
2024-01-01,315.0
2024-02-01,490.0
2024-03-01,524.0
2024-04-01,110.0
2024-05-01,309.0
2024-06-01,274.0
2024-07-01,419.0
2024-08-01,364.0
2024-09-01,389.0
2024-10-01,450.0
2024-11-01,631.0
2024-12-01,774.0
2025-01-01,395.0
2025-02-01,603.0
2025-03-01,584.0
2025-04-01,406.0
2025-05-01,472.0
2025-06-01,373.0
