Tarih,TP_IN_KL2_SANAYI_TOP_A
2016-03-01,435.0
2016-04-01,396.0
2016-05-01,418.0
2016-06-01,523.0
2016-07-01,277.0
2016-08-01,463.0
2016-09-01,301.0
2016-10-01,396.0
2016-11-01,488.0
2016-12-01,1043.0
2017-01-01,558.0
2017-02-01,388.0
2017-03-01,365.0
2017-04-01,329.0
2017-05-01,377.0
2017-06-01,357.0
2017-07-01,370.0
2017-08-01,317.0
2017-09-01,346.0
2017-10-01,474.0
2017-11-01,450.0
2017-12-01,493.0
2018-01-01,567.0
2018-02-01,356.0
2018-03-01,520.0
2018-04-01,381.0
2018-05-01,472.0
2018-06-01,368.0
2018-07-01,589.0
2018-08-01,394.0
2018-09-01,687.0
2018-10-01,433.0
2018-11-01,615.0
2018-12-01,680.0
2019-01-01,454.0
2019-02-01,462.0
2019-03-01,573.0
2019-04-01,334.0
2019-05-01,427.0
2019-06-01,207.0
2019-07-01,406.0
2019-08-01,289.0
2019-09-01,239.0
2019-10-01,334.0
2019-11-01,305.0
2019-12-01,418.0
2020-01-01,338.0
2020-02-01,252.0
2020-03-01,291.0
2020-04-01,171.0
2020-05-01,197.0
2020-06-01,377.0
2020-07-01,277.0
2020-08-01,204.0
2020-09-01,303.0
2020-10-01,289.0
2020-11-01,259.0
2020-12-01,388.0
2021-01-01,343.0
2021-02-01,310.0
2021-03-01,433.0
2021-04-01,343.0
2021-05-01,185.0
2021-06-01,311.0
2021-07-01,273.0
2021-08-01,290.0
2021-09-01,350.0
2021-10-01,430.0
2021-11-01,476.0
2021-12-01,684.0
2022-01-01,281.0
2022-02-01,317.0
2022-03-01,425.0
2022-04-01,357.0
2022-05-01,279.0
2022-06-01,423.0
2022-07-01,374.0
2022-08-01,453.0
2022-09-01,427.0
2022-10-01,493.0
2022-11-01,472.0
2022-12-01,680.0
2023-01-01,498.0
2023-02-01,333.0
2023-03-01,384.0
2023-04-01,293.0
2023-05-01,409.0
2023-06-01,271.0
2023-07-01,291.0
2023-08-01,369.0
2023-09-01,386.0
2023-10-01,434.0
2023-11-01,435.0
2023-12-01,878.0
2024-01-01,471.0
2024-02-01,495.0
2024-03-01,694.0
2024-04-01,317.0
2024-05-01,400.0
2024-06-01,364.0
2024-07-01,351.0
2024-08-01,432.0
2024-09-01,461.0
2024-10-01,517.0
2024-11-01,564.0
2024-12-01,949.0
2025-01-01,578.0
2025-02-01,387.0
2025-03-01,390.0
2025-04-01,350.0
2025-05-01,375.0
2025-06-01,367.0
