Tarih,TP_IN_KL2_TOPTAN_KOP_B
2015-09-01,13205.0
2015-10-01,19533.0
2015-11-01,13523.0
2015-12-01,8238.0
2016-01-01,10981.0
2016-02-01,19741.0
2016-03-01,137263.0
2016-04-01,21803.0
2016-05-01,2958.0
2016-06-01,2899.0
2016-07-01,20945.0
2016-08-01,3411.0
2016-09-01,4277.0
2016-10-01,3771.0
2016-11-01,1952.0
2016-12-01,37492.0
2017-01-01,10939.3
2017-02-01,22658.0
2017-03-01,46381.0
2017-04-01,11906.0
2017-05-01,67061.0
2017-06-01,2949.0
2017-07-01,16298.0
2017-08-01,
2017-09-01,55487.0
2017-10-01,20019.0
2017-11-01,63699.0
2017-12-01,3220.0
2018-01-01,2387.0
2018-02-01,19076.0
2018-03-01,15172.0
2018-04-01,1401.0
2018-05-01,30696.0
2018-06-01,2234.0
2018-07-01,31362.0
2018-08-01,6224.0
2018-09-01,2590.0
2018-10-01,34174.0
2018-11-01,14867.0
2018-12-01,27326.0
2019-01-01,39599.0
2019-02-01,42247.0
2019-03-01,199058.0
2019-04-01,5875.0
2019-05-01,478.0
2019-06-01,68917.0
2019-07-01,40.0
2019-08-01,115.0
2019-09-01,1341.0
2019-10-01,3663.0
2019-11-01,142.0
2019-12-01,22121.0
2020-01-01,5612.0
2020-02-01,263.0
2020-03-01,
2020-04-01,2243.0
2020-05-01,2304.0
2020-06-01,44258.0
2020-07-01,
2020-08-01,4734.0
2020-09-01,42620.0
2020-10-01,1606.0
2020-11-01,
2020-12-01,149840.0
2021-01-01,3440.0
2021-02-01,15296.0
2021-03-01,
2021-04-01,5391.0
2021-05-01,8150.0
2021-06-01,15408.0
2021-07-01,24701.0
2021-08-01,68666.0
2021-09-01,7659.0
2021-10-01,1683.0
2021-11-01,13724.0
2021-12-01,93489.0
2022-01-01,3414.0
2022-02-01,21526.3
2022-03-01,23829.8
2022-04-01,6874.7
2022-05-01,2260.0
2022-06-01,31941.0
2022-07-01,7705.0
2022-08-01,3820.0
2022-09-01,3629.7
2022-10-01,2550.0
2022-11-01,1926.0
2022-12-01,12909.6
2023-01-01,996.0
2023-02-01,3011.0
2023-03-01,
2023-04-01,
2023-05-01,8195.0
2023-06-01,445.0
2023-07-01,2020.0
2023-08-01,2159.8
2023-09-01,270.0
2023-10-01,1248.0
2023-11-01,
2023-12-01,12972.6
2024-01-01,89.0
2024-02-01,
2024-03-01,11786.0
2024-04-01,233.0
2024-05-01,15214.0
2024-06-01,3222.0
2024-07-01,
2024-08-01,
2024-09-01,2560.0
2024-10-01,12518.4
2024-11-01,
2024-12-01,47641.2
2025-01-01,7462.0
2025-02-01,2445.0
2025-03-01,2098.9
2025-04-01,1504.0
2025-05-01,1847.0
2025-06-01,11946.0
