Tarih,TP_IN_KL2_TOPTAN_KOP_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,87907.0
2010-02-01,86708.0
2010-03-01,30212.0
2010-04-01,50780.0
2010-05-01,29387.0
2010-06-01,40739.0
2010-07-01,8330.0
2010-08-01,198386.0
2010-09-01,7326.0
2010-10-01,8327.0
2010-11-01,3976.0
2010-12-01,58899.0
2011-01-01,42949.3
2011-02-01,58699.0
2011-03-01,58194.0
2011-04-01,26227.0
2011-05-01,4542.0
2011-06-01,3703.0
2011-07-01,14286.0
2011-08-01,4161.0
2011-09-01,4367.0
2011-10-01,17695.0
2011-11-01,17335.0
2011-12-01,56478.0
2012-01-01,8765.0
2012-02-01,401.0
2012-03-01,26319.0
2012-04-01,55517.0
2012-05-01,2577.0
2012-06-01,5070.0
2012-07-01,42018.0
2012-08-01,4553.0
2012-09-01,20700.0
2012-10-01,186725.0
2012-11-01,8236.0
2012-12-01,101008.0
2013-01-01,14588.0
2013-02-01,26000.0
2013-03-01,3864.0
2013-04-01,62224.0
2013-05-01,907.0
2013-06-01,15908.0
2013-07-01,15539.0
2013-08-01,9287.0
2013-09-01,12893.0
2013-10-01,1155.0
2013-11-01,4147.0
2013-12-01,127506.0
2014-01-01,65539.0
2014-02-01,56753.0
2014-03-01,101147.0
2014-04-01,324.0
2014-05-01,744.0
2014-06-01,3016.0
2014-07-01,46263.0
2014-08-01,3455.0
2014-09-01,12955.0
2014-10-01,2243.0
2014-11-01,1237.0
2014-12-01,29237.0
2015-01-01,53521.0
2015-02-01,7340.0
2015-03-01,21879.0
2015-04-01,14761.0
2015-05-01,29148.0
2015-06-01,34229.0
2015-07-01,9923.0
2015-08-01,52344.0
