Tarih,TP_IN_KL2_HALK_OZE_B
2015-09-01,189804.0
2015-10-01,111708.0
2015-11-01,73267.0
2015-12-01,33691.0
2016-01-01,22514.0
2016-02-01,47316.0
2016-03-01,15004.0
2016-04-01,23593.0
2016-05-01,41612.0
2016-06-01,115504.0
2016-07-01,76840.0
2016-08-01,85147.0
2016-09-01,160342.0
2016-10-01,52594.9
2016-11-01,104710.3
2016-12-01,89370.0
2017-01-01,79358.0
2017-02-01,83620.0
2017-03-01,90119.0
2017-04-01,73622.0
2017-05-01,115117.0
2017-06-01,24065.0
2017-07-01,17917.0
2017-08-01,95286.0
2017-09-01,134847.0
2017-10-01,107992.0
2017-11-01,110719.0
2017-12-01,59356.0
2018-01-01,24816.0
2018-02-01,54090.0
2018-03-01,34130.0
2018-04-01,29451.0
2018-05-01,28288.8
2018-06-01,47640.0
2018-07-01,106849.0
2018-08-01,48306.0
2018-09-01,100489.0
2018-10-01,93952.0
2018-11-01,30746.6
2018-12-01,45034.0
2019-01-01,3750.0
2019-02-01,36799.0
2019-03-01,50638.0
2019-04-01,20663.0
2019-05-01,9170.0
2019-06-01,1002.0
2019-07-01,49175.0
2019-08-01,70718.0
2019-09-01,52589.0
2019-10-01,19815.0
2019-11-01,8918.0
2019-12-01,64593.0
2020-01-01,25784.0
2020-02-01,2770.0
2020-03-01,6681.0
2020-04-01,33001.0
2020-05-01,11828.0
2020-06-01,3383.0
2020-07-01,6970.0
2020-08-01,37212.0
2020-09-01,31466.0
2020-10-01,3973.0
2020-11-01,26089.0
2020-12-01,21203.8
2021-01-01,67310.0
2021-02-01,26244.0
2021-03-01,20509.0
2021-04-01,21688.0
2021-05-01,5903.0
2021-06-01,30502.0
2021-07-01,26891.0
2021-08-01,24445.0
2021-09-01,32070.0
2021-10-01,38024.6
2021-11-01,29992.0
2021-12-01,14110.5
2022-01-01,10782.0
2022-02-01,4282.0
2022-03-01,1735.3
2022-04-01,28327.5
2022-05-01,28593.6
2022-06-01,9693.0
2022-07-01,7420.0
2022-08-01,14600.9
2022-09-01,37026.9
2022-10-01,14983.0
2022-11-01,9614.9
2022-12-01,27984.9
2023-01-01,27141.0
2023-02-01,10679.0
2023-03-01,11013.2
2023-04-01,382.0
2023-05-01,14930.9
2023-06-01,6267.0
2023-07-01,7391.0
2023-08-01,17054.8
2023-09-01,5025.1
2023-10-01,15259.6
2023-11-01,17943.9
2023-12-01,36557.2
2024-01-01,37394.7
2024-02-01,16380.2
2024-03-01,20976.0
2024-04-01,1761.0
2024-05-01,12532.6
2024-06-01,11199.0
2024-07-01,
2024-08-01,4888.1
2024-09-01,6518.6
2024-10-01,5447.4
2024-11-01,24390.0
2024-12-01,46007.1
2025-01-01,22406.1
2025-02-01,12839.7
2025-03-01,11440.0
2025-04-01,8975.7
2025-05-01,29006.0
2025-06-01,22339.7
