Tarih,TP_IN_KL2_TOPLAM_KOP_D
2015-10-01,1241.0
2015-11-01,1209.0
2015-12-01,2250.0
2016-01-01,1558.0
2016-02-01,1471.0
2016-03-01,1096.0
2016-04-01,1126.0
2016-05-01,1274.0
2016-06-01,1532.0
2016-07-01,767.0
2016-08-01,1786.0
2016-09-01,982.0
2016-10-01,1677.0
2016-11-01,2788.0
2016-12-01,3382.0
2017-01-01,1440.0
2017-02-01,1400.0
2017-03-01,1360.0
2017-04-01,1921.0
2017-05-01,1467.0
2017-06-01,1321.0
2017-07-01,1139.0
2017-08-01,1447.0
2017-09-01,1086.0
2017-10-01,2828.0
2017-11-01,1691.0
2017-12-01,1937.0
2018-01-01,1420.0
2018-02-01,720.0
2018-03-01,1632.0
2018-04-01,702.0
2018-05-01,1073.0
2018-06-01,1376.0
2018-07-01,904.0
2018-08-01,1397.0
2018-09-01,769.0
2018-10-01,1362.0
2018-11-01,3152.0
2018-12-01,1557.0
2019-01-01,1388.0
2019-02-01,1589.0
2019-03-01,2106.0
2019-04-01,497.0
2019-05-01,660.0
2019-06-01,409.0
2019-07-01,587.0
2019-08-01,831.0
2019-09-01,853.0
2019-10-01,781.0
2019-11-01,1047.0
2019-12-01,1356.0
2020-01-01,1150.0
2020-02-01,597.0
2020-03-01,1654.0
2020-04-01,713.0
2020-05-01,566.0
2020-06-01,566.0
2020-07-01,544.0
2020-08-01,1103.0
2020-09-01,500.0
2020-10-01,567.0
2020-11-01,631.0
2020-12-01,2124.0
2021-01-01,511.0
2021-02-01,1048.0
2021-03-01,753.0
2021-04-01,491.0
2021-05-01,424.0
2021-06-01,839.0
2021-07-01,360.0
2021-08-01,314.0
2021-09-01,917.0
2021-10-01,576.0
2021-11-01,973.0
2021-12-01,1236.0
2022-01-01,632.0
2022-02-01,628.0
2022-03-01,1058.0
2022-04-01,466.0
2022-05-01,313.0
2022-06-01,988.0
2022-07-01,610.0
2022-08-01,630.0
2022-09-01,433.0
2022-10-01,467.0
2022-11-01,621.0
2022-12-01,1095.0
2023-01-01,500.0
2023-02-01,408.0
2023-03-01,248.0
2023-04-01,284.0
2023-05-01,671.0
2023-06-01,417.0
2023-07-01,486.0
2023-08-01,208.0
2023-09-01,459.0
2023-10-01,738.0
2023-11-01,918.0
2023-12-01,1601.0
2024-01-01,571.0
2024-02-01,393.0
2024-03-01,1058.0
2024-04-01,156.0
2024-05-01,587.0
2024-06-01,316.0
2024-07-01,365.0
2024-08-01,352.0
2024-09-01,630.0
2024-10-01,526.0
2024-11-01,756.0
2024-12-01,1551.0
2025-01-01,419.0
2025-02-01,351.0
2025-03-01,323.0
2025-04-01,200.0
2025-05-01,307.0
2025-06-01,404.0
