Tarih,TP_IN_KL2_DIGER_TOP_A
2016-03-01,259.0
2016-04-01,279.0
2016-05-01,302.0
2016-06-01,410.0
2016-07-01,243.0
2016-08-01,307.0
2016-09-01,303.0
2016-10-01,393.0
2016-11-01,511.0
2016-12-01,476.0
2017-01-01,220.0
2017-02-01,201.0
2017-03-01,211.0
2017-04-01,196.0
2017-05-01,190.0
2017-06-01,170.0
2017-07-01,164.0
2017-08-01,222.0
2017-09-01,177.0
2017-10-01,328.0
2017-11-01,297.0
2017-12-01,402.0
2018-01-01,370.0
2018-02-01,309.0
2018-03-01,390.0
2018-04-01,279.0
2018-05-01,332.0
2018-06-01,261.0
2018-07-01,296.0
2018-08-01,251.0
2018-09-01,296.0
2018-10-01,323.0
2018-11-01,368.0
2018-12-01,444.0
2019-01-01,279.0
2019-02-01,254.0
2019-03-01,328.0
2019-04-01,210.0
2019-05-01,236.0
2019-06-01,152.0
2019-07-01,190.0
2019-08-01,143.0
2019-09-01,179.0
2019-10-01,186.0
2019-11-01,231.0
2019-12-01,285.0
2020-01-01,169.0
2020-02-01,196.0
2020-03-01,150.0
2020-04-01,89.0
2020-05-01,110.0
2020-06-01,178.0
2020-07-01,208.0
2020-08-01,157.0
2020-09-01,216.0
2020-10-01,167.0
2020-11-01,178.0
2020-12-01,356.0
2021-01-01,247.0
2021-02-01,187.0
2021-03-01,219.0
2021-04-01,227.0
2021-05-01,136.0
2021-06-01,204.0
2021-07-01,174.0
2021-08-01,172.0
2021-09-01,220.0
2021-10-01,195.0
2021-11-01,278.0
2021-12-01,485.0
2022-01-01,181.0
2022-02-01,177.0
2022-03-01,211.0
2022-04-01,203.0
2022-05-01,151.0
2022-06-01,212.0
2022-07-01,175.0
2022-08-01,194.0
2022-09-01,188.0
2022-10-01,190.0
2022-11-01,254.0
2022-12-01,326.0
2023-01-01,189.0
2023-02-01,149.0
2023-03-01,132.0
2023-04-01,149.0
2023-05-01,167.0
2023-06-01,177.0
2023-07-01,110.0
2023-08-01,168.0
2023-09-01,164.0
2023-10-01,169.0
2023-11-01,196.0
2023-12-01,293.0
2024-01-01,166.0
2024-02-01,201.0
2024-03-01,270.0
2024-04-01,79.0
2024-05-01,183.0
2024-06-01,124.0
2024-07-01,122.0
2024-08-01,156.0
2024-09-01,167.0
2024-10-01,166.0
2024-11-01,205.0
2024-12-01,369.0
2025-01-01,145.0
2025-02-01,149.0
2025-03-01,129.0
2025-04-01,103.0
2025-05-01,135.0
2025-06-01,126.0
