Tarih,TP_IN_KL2_OFIS_KOP_B
2016-04-01,2482.6
2016-05-01,2634.0
2016-06-01,356.0
2016-07-01,30627.0
2016-08-01,1874.0
2016-09-01,1004.0
2016-10-01,9611.0
2016-11-01,3280.0
2016-12-01,53563.0
2017-01-01,32190.2
2017-02-01,10944.0
2017-03-01,7985.0
2017-04-01,3697.8
2017-05-01,6180.0
2017-06-01,7771.0
2017-07-01,23756.0
2017-08-01,15466.0
2017-09-01,6080.0
2017-10-01,12930.0
2017-11-01,25036.0
2017-12-01,34824.0
2018-01-01,2352.0
2018-02-01,13299.0
2018-03-01,4036.0
2018-04-01,1005.0
2018-05-01,1999.0
2018-06-01,53198.0
2018-07-01,880.0
2018-08-01,
2018-09-01,401.0
2018-10-01,1120.0
2018-11-01,
2018-12-01,201.0
2019-01-01,
2019-02-01,8857.0
2019-03-01,2059.0
2019-04-01,
2019-05-01,
2019-06-01,22168.0
2019-07-01,704.0
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,6491.0
2020-01-01,
2020-02-01,635.0
2020-03-01,1204.0
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,5321.0
2020-09-01,32874.0
2020-10-01,8367.0
2020-11-01,1422.0
2020-12-01,2114.0
2021-01-01,2780.0
2021-02-01,
2021-03-01,3436.0
2021-04-01,21425.0
2021-05-01,587.0
2021-06-01,1324.7
2021-07-01,1532.0
2021-08-01,1317.0
2021-09-01,1132.0
2021-10-01,73254.9
2021-11-01,5886.0
2021-12-01,6729.0
2022-01-01,9509.3
2022-02-01,16054.1
2022-03-01,1155.4
2022-04-01,1968.0
2022-05-01,199.8
2022-06-01,4493.5
2022-07-01,2460.0
2022-08-01,1641.0
2022-09-01,3049.0
2022-10-01,2799.5
2022-11-01,23802.4
2022-12-01,481.2
2023-01-01,117487.3
2023-02-01,18762.9
2023-03-01,880.0
2023-04-01,3001.7
2023-05-01,1153.0
2023-06-01,4441.2
2023-07-01,4592.0
2023-08-01,1201.0
2023-09-01,75066.6
2023-10-01,31830.0
2023-11-01,799.0
2023-12-01,14691.0
2024-01-01,5384.1
2024-02-01,1009.0
2024-03-01,13010.0
2024-04-01,180854.6
2024-05-01,
2024-06-01,745.0
2024-07-01,15625.0
2024-08-01,2729.0
2024-09-01,
2024-10-01,10828.6
2024-11-01,2621.0
2024-12-01,4994.1
2025-01-01,3285.0
2025-02-01,1475.0
2025-03-01,2512.0
2025-04-01,
2025-05-01,3322.0
