Tarih,TP_TG2_Y13
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,44.6266840882
2012-02-01,42.0142615984
2012-03-01,46.3060214287
2012-04-01,47.5982708916
2012-05-01,45.0496209343
2012-06-01,46.6006008712
2012-07-01,40.3437341339
2012-08-01,40.1287070612
2012-09-01,40.475039593
2012-10-01,46.2925553479
2012-11-01,43.4706356148
2012-12-01,40.6991397997
2013-01-01,44.6573602648
2013-02-01,40.677
2013-03-01,48.097
2013-04-01,43.1486560964
2013-05-01,47.775
2013-06-01,45.521
2013-07-01,44.937
2013-08-01,41.912
2013-09-01,40.734
2013-10-01,41.922
2013-11-01,39.795
2013-12-01,40.866
2014-01-01,39.8732996429
2014-02-01,39.0354501153
2014-03-01,37.2104421699
2014-04-01,37.1371775029
2014-05-01,38.8267193723
2014-06-01,35.8260289676
2014-07-01,36.9744801011
2014-08-01,36.7002099397
2014-09-01,37.135377264
2014-10-01,36.9770187692
2014-11-01,39.8348968593
2014-12-01,35.5855915533
2015-01-01,30.2812569558
2015-02-01,32.7300821701
2015-03-01,34.0409793469
2015-04-01,36.7753665746
2015-05-01,34.2283325559
2015-06-01,33.1609992063
2015-07-01,34.1041474168
2015-08-01,33.6891929372
2015-09-01,30.6288752257
2015-10-01,33.80190426
2015-11-01,31.5705454399
2015-12-01,32.2996569505
