Tarih,TP_TG2_Y09
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,93.3464554067
2012-02-01,95.3493902848
2012-03-01,95.3398868948
2012-04-01,92.3646316938
2012-05-01,92.7887030346
2012-06-01,94.3844545007
2012-07-01,95.089967423
2012-08-01,93.1651298122
2012-09-01,96.2948337587
2012-10-01,92.2031571475
2012-11-01,95.9632809593
2012-12-01,94.2321625485
2013-01-01,94.9720634358
2013-02-01,95.993
2013-03-01,97.359
2013-04-01,95.6860248449
2013-05-01,99.34
2013-06-01,100.294
2013-07-01,101.23
2013-08-01,99.572
2013-09-01,96.026
2013-10-01,96.426
2013-11-01,102.223
2013-12-01,98.361
2014-01-01,97.7762233873
2014-02-01,95.6383330013
2014-03-01,96.5828725233
2014-04-01,100.53340345
2014-05-01,99.7065160212
2014-06-01,98.3194352573
2014-07-01,98.7677094419
2014-08-01,96.6408970965
2014-09-01,98.3203103113
2014-10-01,98.5269267479
2014-11-01,99.2025012688
2014-12-01,96.9688589486
2015-01-01,96.2587669992
2015-02-01,95.2912701821
2015-03-01,94.771458396
2015-04-01,96.5194624231
2015-05-01,95.6048140045
2015-06-01,99.2143187196
2015-07-01,96.7720310638
2015-08-01,96.0330569171
2015-09-01,95.1106800091
2015-10-01,95.3225470551
2015-11-01,95.7225017242
2015-12-01,96.2629656894
