Tarih,TP_BEK_S05_B_A
2016-10-01,3.1204
2016-11-01,3.3369
2016-12-01,3.4671
2017-01-01,3.8619
2017-02-01,3.8807
2017-03-01,3.8495
2017-04-01,3.8453
2017-05-01,3.8027
2017-06-01,3.7553
2017-07-01,3.7492
2017-08-01,3.726
2017-09-01,3.6323
2017-10-01,3.7237
2017-11-01,3.8624
2017-12-01,3.8752
2018-01-01,4.12
2018-02-01,4.1
2018-03-01,4.1036
2018-04-01,4.2326
2018-05-01,4.4661
2018-06-01,4.5837
2018-07-01,4.8657
2018-08-01,5.9663
2018-09-01,6.5938
2018-10-01,6.0149
2018-11-01,5.67
2018-12-01,5.4372
2019-01-01,6.2108
2019-02-01,6.0298
2019-03-01,6.0799
2019-04-01,6.203
2019-05-01,6.4636
2019-06-01,6.3201
2019-07-01,6.1448
2019-08-01,5.9002
2019-09-01,5.9954
2019-10-01,6.0473
2019-11-01,5.9153
2019-12-01,5.821
2020-01-01,6.4079
2020-02-01,6.4485
2020-03-01,6.5009
2020-04-01,6.9277
2020-05-01,7.018
2020-06-01,6.9922
2020-07-01,7.0188
2020-08-01,7.3582
2020-09-01,7.599
2020-10-01,7.8979
2020-11-01,7.8867
2020-12-01,7.7704
2021-01-01,7.979
2021-02-01,7.7865
2021-03-01,7.9455
2021-04-01,8.5749
2021-05-01,8.7118
2021-06-01,8.9488
2021-07-01,8.991
2021-08-01,8.9431
2021-09-01,8.9184
2021-10-01,9.2594
2021-11-01,9.9412
2021-12-01,13.7719
2022-01-01,16.0036
2022-02-01,15.9906
2022-03-01,16.8091
2022-04-01,16.9736
2022-05-01,17.7297
2022-06-01,19.0246
2022-07-01,19.2087
2022-08-01,19.5994
2022-09-01,19.7763
2022-10-01,19.9759
2022-11-01,19.6626
2022-12-01,18.8259
2023-01-01,23.1161
2023-02-01,22.8363
2023-03-01,22.9097
2023-04-01,23.1535
2023-05-01,23.086
2023-06-01,26.1796
2023-07-01,28.6081
2023-08-01,30.0818
2023-09-01,30.3532
2023-10-01,30.1016
2023-11-01,30.0771
2023-12-01,29.6779
2024-01-01,39.8571
2024-02-01,40.0212
2024-03-01,40.5344
2024-04-01,40.0098
2024-05-01,38.7771
2024-06-01,37.8174
2024-07-01,37.4391
2024-08-01,37.276
2024-09-01,37.205
2024-10-01,36.7154
2024-11-01,35.7205
2024-12-01,35.3553
2025-01-01,43.0265
2025-02-01,42.8869
2025-03-01,42.7907
2025-04-01,43.6025
2025-05-01,43.6984
2025-06-01,43.5731
2025-07-01,43.7219
2025-08-01,43.9571
2025-09-01,43.8544
2025-10-01,43.6669
