Tarih,TP_BEK_S05_C_U
2016-10-01,3.2559
2016-11-01,3.4996
2016-12-01,3.6317
2017-01-01,3.9553
2017-02-01,3.96
2017-03-01,3.9194
2017-04-01,3.9385
2017-05-01,3.9395
2017-06-01,3.9042
2017-07-01,3.9043
2017-08-01,3.8717
2017-09-01,3.8255
2017-10-01,3.8757
2017-11-01,4.0819
2017-12-01,4.1534
2018-01-01,4.2392
2018-02-01,4.1774
2018-03-01,4.1877
2018-04-01,4.3306
2018-05-01,4.5776
2018-06-01,4.7805
2018-07-01,5.0592
2018-08-01,6.2948
2018-09-01,7.0786
2018-10-01,6.5307
2018-11-01,6.3709
2018-12-01,6.2472
2019-01-01,6.3049
2019-02-01,6.1659
2019-03-01,6.2996
2019-04-01,6.4287
2019-05-01,6.6824
2019-06-01,6.6361
2019-07-01,6.4664
2019-08-01,6.2734
2019-09-01,6.347
2019-10-01,6.4097
2019-11-01,6.3239
2019-12-01,6.3527
2020-01-01,6.4328
2020-02-01,6.5108
2020-03-01,6.6606
2020-04-01,7.1104
2020-05-01,7.2204
2020-06-01,7.2208
2020-07-01,7.258
2020-08-01,7.6751
2020-09-01,7.9372
2020-10-01,8.3087
2020-11-01,8.4099
2020-12-01,8.3733
2021-01-01,8.1605
2021-02-01,7.9427
2021-03-01,8.197
2021-04-01,8.7826
2021-05-01,8.9529
2021-06-01,9.2309
2021-07-01,9.3365
2021-08-01,9.3688
2021-09-01,9.5588
2021-10-01,10.007
2021-11-01,10.9272
2021-12-01,15.5594
2022-01-01,16.8547
2022-02-01,16.6245
2022-03-01,17.4231
2022-04-01,17.8419
2022-05-01,18.4684
2022-06-01,20.7002
2022-07-01,20.9207
2022-08-01,22.0257
2022-09-01,22.0688
2022-10-01,23.6064
2022-11-01,23.3533
2022-12-01,22.7681
2023-01-01,23.4344
2023-02-01,23.1029
2023-03-01,23.5209
2023-04-01,24.0815
2023-05-01,24.6117
2023-06-01,28.9948
2023-07-01,31.4246
2023-08-01,34.576
2023-09-01,37.2617
2023-10-01,38.6445
2023-11-01,39.6182
2023-12-01,39.459
2024-01-01,40.637
2024-02-01,41.1543
2024-03-01,42.789
2024-04-01,42.473
2024-05-01,41.7997
2024-06-01,41.4115
2024-07-01,41.5175
2024-08-01,42.0348
2024-09-01,42.4274
2024-10-01,42.734
2024-11-01,42.7475
2024-12-01,43.2299
2025-01-01,43.814
2025-02-01,43.9612
2025-03-01,44.4165
2025-04-01,45.853
2025-05-01,46.6185
2025-06-01,47.0352
2025-07-01,47.6972
2025-08-01,48.3632
2025-09-01,48.9583
2025-10-01,49.7515
