Tarih,TP_BEK_S03_A_A
2017-02-01,10.19
2017-03-01,10.66
2017-04-01,11.38
2017-05-01,11.86
2017-06-01,11.95
2017-07-01,11.93
2017-08-01,11.97
2017-09-01,11.88
2017-10-01,11.98
2017-11-01,12.02
2017-12-01,12.49
2018-01-01,12.47
2018-02-01,12.54
2018-03-01,12.46
2018-04-01,12.76
2018-05-01,13.52
2018-06-01,17.16
2018-07-01,18.22
2018-08-01,19.19
2018-09-01,21.27
2018-10-01,24.08
2018-11-01,23.83
2018-12-01,23.77
2019-01-01,23.72
2019-02-01,23.85
2019-03-01,23.39
2019-04-01,23.97
2019-05-01,25.19
2019-06-01,24.29
2019-07-01,21.58
2019-08-01,19.05
2019-09-01,16.89
2019-10-01,15.94
2019-11-01,13.56
2019-12-01,12.4
2020-01-01,11.43
2020-02-01,10.8
2020-03-01,10.38
2020-04-01,9.13
2020-05-01,8.19
2020-06-01,7.88
2020-07-01,7.98
2020-08-01,9.81
2020-09-01,11.0
2020-10-01,12.78
2020-11-01,14.74
2020-12-01,15.98
2021-01-01,17.17
2021-02-01,17.11
2021-03-01,17.6
2021-04-01,19.03
2021-05-01,19.13
2021-06-01,19.08
2021-07-01,19.07
2021-08-01,19.01
2021-09-01,19.02
2021-10-01,17.82
2021-11-01,15.58
2021-12-01,14.93
2022-01-01,14.36
2022-02-01,14.19
2022-03-01,14.22
2022-04-01,14.23
2022-05-01,14.28
2022-06-01,14.08
2022-07-01,14.09
2022-08-01,14.14
2022-09-01,12.67
2022-10-01,11.61
2022-11-01,9.61
2022-12-01,9.27
2023-01-01,9.24
2023-02-01,8.98
2023-03-01,8.8
2023-04-01,9.06
2023-05-01,9.37
2023-06-01,18.13
2023-07-01,18.94
2023-08-01,19.21
2023-09-01,29.26
2023-10-01,33.22
2023-11-01,37.4
2023-12-01,42.25
2024-01-01,44.4
2024-02-01,45.1
2024-03-01,46.07
2024-04-01,51.43
2024-05-01,51.51
2024-06-01,50.7
2024-07-01,50.3
2024-08-01,50.46
2024-09-01,50.83
2024-10-01,50.07
2024-11-01,49.72
2024-12-01,48.59
2025-01-01,45.13
2025-02-01,44.77
2025-03-01,42.36
2025-04-01,45.92
2025-05-01,48.84
2025-06-01,46.45
2025-07-01,43.49
2025-08-01,42.82
2025-09-01,40.52
2025-10-01,39.15
