Tarih,TP_BEK_S04_B_A
2017-02-01,8.43
2017-03-01,8.39
2017-04-01,8.29
2017-05-01,8.25
2017-06-01,8.15
2017-07-01,8.07
2017-08-01,8.05
2017-09-01,8.05
2017-10-01,8.05
2017-11-01,8.11
2017-12-01,8.47
2018-01-01,8.09
2018-02-01,8.02
2018-03-01,8.01
2018-04-01,8.25
2018-05-01,9.23
2018-06-01,17.67
2018-07-01,18.56
2018-08-01,20.05
2018-09-01,22.02
2018-10-01,24.47
2018-11-01,23.98
2018-12-01,23.65
2019-01-01,23.47
2019-02-01,23.42
2019-03-01,22.63
2019-04-01,23.16
2019-05-01,23.91
2019-06-01,22.58
2019-07-01,19.55
2019-08-01,16.98
2019-09-01,15.84
2019-10-01,15.09
2019-11-01,12.56
2019-12-01,12.11
2020-01-01,10.9
2020-02-01,10.48
2020-03-01,9.82
2020-04-01,8.93
2020-05-01,8.11
2020-06-01,7.8
2020-07-01,8.06
2020-08-01,9.11
2020-09-01,9.71
2020-10-01,12.39
2020-11-01,14.5
2020-12-01,16.39
2021-01-01,17.05
2021-02-01,17.02
2021-03-01,17.64
2021-04-01,18.41
2021-05-01,18.24
2021-06-01,18.35
2021-07-01,18.65
2021-08-01,18.55
2021-09-01,18.02
2021-10-01,16.67
2021-11-01,14.74
2021-12-01,15.18
2022-01-01,14.74
2022-02-01,14.53
2022-03-01,15.24
2022-04-01,15.25
2022-05-01,15.48
2022-06-01,14.9
2022-07-01,15.82
2022-08-01,15.91
2022-09-01,12.21
2022-10-01,9.72
2022-11-01,9.05
2022-12-01,8.87
2023-01-01,8.94
2023-02-01,9.0
2023-03-01,9.26
2023-04-01,12.26
2023-05-01,10.12
2023-06-01,21.65
2023-07-01,23.96
2023-08-01,22.57
2023-09-01,34.73
2023-10-01,37.27
2023-11-01,40.08
2023-12-01,43.1
2024-01-01,44.8
2024-02-01,45.15
2024-03-01,46.85
2024-04-01,50.7
2024-05-01,49.92
2024-06-01,49.79
2024-07-01,49.24
2024-08-01,48.1
2024-09-01,46.48
2024-10-01,46.17
2024-11-01,45.12
2024-12-01,43.5
2025-01-01,40.91
2025-02-01,40.3
2025-03-01,37.97
2025-04-01,39.44
2025-05-01,42.96
