Tarih,TP_BEK_S06_A_U
2016-06-01,-32527.87
2016-07-01,-32829.45
2016-08-01,-33213.79
2016-09-01,-33082.49
2016-10-01,-33687.31
2016-11-01,-34018.18
2016-12-01,-34016.815
2017-01-01,-35398.46
2017-02-01,-35635.59
2017-03-01,-35807.35
2017-04-01,-35706.56
2017-05-01,-35575.0
2017-06-01,-35808.33
2017-07-01,-36279.69
2017-08-01,-36738.6
2017-09-01,-36923.33
2017-10-01,-38035.71
2017-11-01,-39081.69
2017-12-01,-40518.64
2018-01-01,-43824.59
2018-02-01,-45145.83
2018-03-01,-48163.24
2018-04-01,-50797.06
2018-05-01,-53465.57
2018-06-01,-53470.18
2018-07-01,-54825.93
2018-08-01,-52661.54
2018-09-01,-49670.18
2018-10-01,-40698.79
2018-11-01,-36657.38
2018-12-01,-33345.31
2019-01-01,-24668.18
2019-02-01,-23579.03
2019-03-01,-21360.0
2019-04-01,-17624.19
2019-05-01,-14668.64
2019-06-01,-10590.97
2019-07-01,-7649.82
2019-08-01,-6719.83
2019-09-01,-5892.31
2019-10-01,-852.2
2019-11-01,585.75
2019-12-01,1206.08
2020-01-01,-13038.46
2020-02-01,-13783.88
2020-03-01,-12005.09
2020-04-01,-6050.0
2020-05-01,-7225.45
2020-06-01,-11585.96
2020-07-01,-14639.96
2020-08-01,-17319.64
2020-09-01,-22751.85
2020-10-01,-28192.86
2020-11-01,-30894.0
2020-12-01,-33968.66
2021-01-01,-24006.9
2021-02-01,-24066.04
2021-03-01,-25151.79
2021-04-01,-25805.32
2021-05-01,-25448.72
2021-06-01,-25656.38
2021-07-01,-24666.67
2021-08-01,-23455.32
2021-09-01,-22353.19
2021-10-01,-21275.0
2021-11-01,-19222.09
2021-12-01,-15637.21
2022-01-01,-7941.86
2022-02-01,-9472.09
2022-03-01,-21154.55
2022-04-01,-27452.5
2022-05-01,-34352.56
2022-06-01,-37010.63
2022-07-01,-37540.48
2022-08-01,-39306.76
2022-09-01,-45890.28
2022-10-01,-49211.13
2022-11-01,-48760.47
2022-12-01,-46662.05
2023-01-01,-30652.89
2023-02-01,-30585.21
2023-03-01,-35982.05
2023-04-01,-37750.0
2023-05-01,-38409.72
2023-06-01,-40319.12
2023-07-01,-41595.59
2023-08-01,-43556.76
2023-09-01,-44265.79
2023-10-01,-45936.07
2023-11-01,-45721.67
2023-12-01,-45828.07
2024-01-01,-34449.15
2024-02-01,-34606.0
2024-03-01,-33287.38
2024-04-01,-32113.05
2024-05-01,-30530.0
2024-06-01,-28992.79
2024-07-01,-27593.79
2024-08-01,-25482.9
2024-09-01,-22165.89
2024-10-01,-20176.35
2024-11-01,-14142.37
2024-12-01,-9796.15
2025-01-01,-17423.33
2025-02-01,-18775.5
2025-03-01,-19420.35
2025-04-01,-19115.0
2025-05-01,-19224.07
2025-06-01,-18796.49
2025-07-01,-19856.3
2025-08-01,-20265.52
2025-09-01,-20937.29
2025-10-01,-20767.19
