Tarih,TP_BEK_S05_A_A
2016-10-01,3.0804
2016-11-01,3.3398
2016-12-01,3.4671
2017-01-01,3.7598
2017-02-01,3.7189
2017-03-01,3.7569
2017-04-01,3.6989
2017-05-01,3.608
2017-06-01,3.5558
2017-07-01,3.5851
2017-08-01,3.5628
2017-09-01,3.4629
2017-10-01,3.6554
2017-11-01,3.859
2017-12-01,3.8752
2018-01-01,3.8091
2018-02-01,3.8148
2018-03-01,3.8603
2018-04-01,4.078
2018-05-01,4.4227
2018-06-01,4.5215
2018-07-01,4.794
2018-08-01,5.8906
2018-09-01,6.462
2018-10-01,5.7688
2018-11-01,5.5233
2018-12-01,5.4372
2019-01-01,5.5068
2019-02-01,5.2975
2019-03-01,5.4777
2019-04-01,5.7926
2019-05-01,6.1146
2019-06-01,5.9112
2019-07-01,5.7495
2019-08-01,5.5427
2019-09-01,5.744
2019-10-01,5.9016
2019-11-01,5.797
2019-12-01,5.821
2020-01-01,5.9503
2020-02-01,6.0516
2020-03-01,6.2035
2020-04-01,6.8743
2020-05-01,6.9618
2020-06-01,6.8489
2020-07-01,6.8742
2020-08-01,7.2768
2020-09-01,7.509
2020-10-01,7.9051
2020-11-01,7.8441
2020-12-01,7.7704
2021-01-01,7.4295
2021-02-01,7.1192
2021-03-01,7.5188
2021-04-01,8.2008
2021-05-01,8.3157
2021-06-01,8.6138
2021-07-01,8.6922
2021-08-01,8.4874
2021-09-01,8.5151
2021-10-01,9.0592
2021-11-01,9.7889
2021-12-01,13.7719
2022-01-01,13.9483
2022-02-01,13.6923
2022-03-01,14.7635
2022-04-01,14.8739
2022-05-01,15.9441
2022-06-01,17.3462
2022-07-01,17.3809
2022-08-01,18.0932
2022-09-01,18.4674
2022-10-01,18.7922
2022-11-01,18.7815
2022-12-01,18.8259
2023-01-01,18.9219
2023-02-01,18.9252
2023-03-01,19.0559
2023-04-01,19.4996
2023-05-01,19.8311
2023-06-01,23.916
2023-07-01,26.3859
2023-08-01,27.3945
2023-09-01,27.3099
2023-10-01,28.2418
2023-11-01,29.0124
2023-12-01,29.6779
2024-01-01,30.4969
2024-02-01,31.1598
2024-03-01,32.6317
2024-04-01,32.9161
2024-05-01,32.619
2024-06-01,32.6649
2024-07-01,33.3906
2024-08-01,33.8013
2024-09-01,34.4602
2024-10-01,34.6972
2024-11-01,34.7783
2024-12-01,35.3553
2025-01-01,35.8732
2025-02-01,36.4166
2025-03-01,36.974
2025-04-01,38.3697
2025-05-01,39.0607
2025-06-01,39.6507
2025-07-01,40.509
2025-08-01,41.0735
2025-09-01,41.6926
2025-10-01,42.162
