Tarih,TP_BEK_S04_E_S
2017-02-01,0.73
2017-03-01,0.75
2017-04-01,0.87
2017-05-01,0.9
2017-06-01,0.61
2017-07-01,0.74
2017-08-01,0.5
2017-09-01,0.68
2017-10-01,0.5
2017-11-01,1.2
2017-12-01,1.01
2018-01-01,0.66
2018-02-01,0.55
2018-03-01,0.47
2018-04-01,1.0
2018-05-01,1.6
2018-06-01,2.32
2018-07-01,2.29
2018-08-01,2.59
2018-09-01,3.09
2018-10-01,3.79
2018-11-01,3.2
2018-12-01,2.76
2019-01-01,2.39
2019-02-01,2.58
2019-03-01,2.35
2019-04-01,2.97
2019-05-01,2.34
2019-06-01,2.43
2019-07-01,2.18
2019-08-01,2.06
2019-09-01,2.05
2019-10-01,1.75
2019-11-01,1.61
2019-12-01,1.44
2020-01-01,1.21
2020-02-01,1.25
2020-03-01,1.14
2020-04-01,1.23
2020-05-01,0.86
2020-06-01,0.85
2020-07-01,0.95
2020-08-01,1.27
2020-09-01,1.25
2020-10-01,1.56
2020-11-01,1.6
2020-12-01,1.66
2021-01-01,1.46
2021-02-01,1.66
2021-03-01,1.4
2021-04-01,2.19
2021-05-01,1.98
2021-06-01,1.98
2021-07-01,1.77
2021-08-01,1.78
2021-09-01,1.76
2021-10-01,1.58
2021-11-01,2.13
2021-12-01,3.62
2022-01-01,4.49
2022-02-01,4.46
2022-03-01,5.15
2022-04-01,5.18
2022-05-01,7.01
2022-06-01,8.1
2022-07-01,6.88
2022-08-01,6.61
2022-09-01,4.69
2022-10-01,6.24
2022-11-01,5.94
2022-12-01,6.53
2023-01-01,5.47
2023-02-01,5.63
2023-03-01,5.83
2023-04-01,5.93
2023-05-01,4.71
2023-06-01,5.1
2023-07-01,4.31
2023-08-01,4.54
2023-09-01,6.2
2023-10-01,6.81
2023-11-01,6.5
2023-12-01,6.28
2024-01-01,3.87
2024-02-01,3.54
2024-03-01,4.01
2024-04-01,5.55
2024-05-01,3.85
2024-06-01,4.47
2024-07-01,3.98
2024-08-01,3.67
2024-09-01,4.04
2024-10-01,4.46
2024-11-01,3.47
2024-12-01,3.66
2025-01-01,3.77
2025-02-01,3.0
2025-03-01,2.69
2025-04-01,3.11
2025-05-01,3.4
2025-06-01,3.37
2025-07-01,3.37
2025-08-01,3.81
2025-09-01,3.78
2025-10-01,4.01
