Tarih,TP_BEK_S05_B_S
2016-10-01,0.0581
2016-11-01,0.1099
2016-12-01,0.0639
2017-01-01,0.1963
2017-02-01,0.1835
2017-03-01,0.1608
2017-04-01,0.1593
2017-05-01,0.1555
2017-06-01,0.1325
2017-07-01,0.1133
2017-08-01,0.1164
2017-09-01,0.1077
2017-10-01,0.1009
2017-11-01,0.1153
2017-12-01,0.077
2018-01-01,0.18
2018-02-01,0.15
2018-03-01,0.1249
2018-04-01,0.1539
2018-05-01,0.3005
2018-06-01,0.2719
2018-07-01,0.2649
2018-08-01,0.7436
2018-09-01,0.5765
2018-10-01,0.444
2018-11-01,0.2428
2018-12-01,0.1563
2019-01-01,0.3412
2019-02-01,0.3735
2019-03-01,0.3159
2019-04-01,0.3101
2019-05-01,0.3101
2019-06-01,0.2729
2019-07-01,0.2329
2019-08-01,0.2221
2019-09-01,0.176
2019-10-01,0.1416
2019-11-01,0.121
2019-12-01,0.0717
2020-01-01,0.1425
2020-02-01,0.1523
2020-03-01,0.2093
2020-04-01,0.3762
2020-05-01,0.3552
2020-06-01,0.2648
2020-07-01,0.2326
2020-08-01,0.252
2020-09-01,0.2227
2020-10-01,0.2083
2020-11-01,0.3819
2020-12-01,0.1331
2021-01-01,0.4275
2021-02-01,0.457
2021-03-01,0.3876
2021-04-01,0.3894
2021-05-01,0.3776
2021-06-01,0.3539
2021-07-01,0.3228
2021-08-01,0.3034
2021-09-01,0.2419
2021-10-01,0.2122
2021-11-01,0.2896
2021-12-01,0.3086
2022-01-01,1.8108
2022-02-01,1.4922
2022-03-01,1.5485
2022-04-01,1.403
2022-05-01,1.6622
2022-06-01,1.7327
2022-07-01,1.6501
2022-08-01,1.5507
2022-09-01,1.1358
2022-10-01,0.7138
2022-11-01,0.7185
2022-12-01,0.2642
2023-01-01,2.093
2023-02-01,1.8633
2023-03-01,1.6604
2023-04-01,1.6414
2023-05-01,1.4158
2023-06-01,1.4652
2023-07-01,1.0332
2023-08-01,1.5099
2023-09-01,1.38
2023-10-01,0.7008
2023-11-01,0.6208
2023-12-01,0.389
2024-01-01,2.4871
2024-02-01,1.9451
2024-03-01,2.2476
2024-04-01,1.9381
2024-05-01,1.9436
2024-06-01,1.4309
2024-07-01,1.1952
2024-08-01,1.1516
2024-09-01,0.8437
2024-10-01,0.8187
2024-11-01,0.5959
2024-12-01,0.2916
2025-01-01,1.5197
2025-02-01,1.1939
2025-03-01,1.1582
2025-04-01,1.0895
2025-05-01,1.0502
2025-06-01,0.9553
2025-07-01,0.8147
2025-08-01,0.7353
2025-09-01,0.6581
2025-10-01,0.5554
