Tarih,TP_BEK_S03_A_U
2017-02-01,10.19
2017-03-01,10.66
2017-04-01,11.38
2017-05-01,11.86
2017-06-01,11.96
2017-07-01,11.95
2017-08-01,11.97
2017-09-01,11.98
2017-10-01,11.98
2017-11-01,12.02
2017-12-01,12.44
2018-01-01,12.5
2018-02-01,12.54
2018-03-01,12.53
2018-04-01,12.77
2018-05-01,13.43
2018-06-01,17.23
2018-07-01,18.22
2018-08-01,19.19
2018-09-01,21.27
2018-10-01,23.93
2018-11-01,23.93
2018-12-01,23.94
2019-01-01,23.74
2019-02-01,23.87
2019-03-01,23.39
2019-04-01,23.92
2019-05-01,25.39
2019-06-01,24.25
2019-07-01,21.58
2019-08-01,19.17
2019-09-01,16.89
2019-10-01,15.88
2019-11-01,13.56
2019-12-01,12.4
2020-01-01,11.43
2020-02-01,10.83
2020-03-01,10.38
2020-04-01,9.13
2020-05-01,8.19
2020-06-01,7.88
2020-07-01,7.98
2020-08-01,9.79
2020-09-01,11.0
2020-10-01,12.83
2020-11-01,14.84
2020-12-01,16.09
2021-01-01,17.09
2021-02-01,17.04
2021-03-01,17.56
2021-04-01,19.03
2021-05-01,19.0
2021-06-01,19.0
2021-07-01,19.0
2021-08-01,19.0
2021-09-01,19.0
2021-10-01,17.82
2021-11-01,15.53
2021-12-01,14.93
2022-01-01,14.27
2022-02-01,14.19
2022-03-01,14.22
2022-04-01,14.0
2022-05-01,14.0
2022-06-01,14.0
2022-07-01,14.0
2022-08-01,14.0
2022-09-01,12.83
2022-10-01,11.25
2022-11-01,9.47
2022-12-01,9.18
2023-01-01,9.08
2023-02-01,9.0
2023-03-01,8.5
2023-04-01,8.73
2023-05-01,9.21
2023-06-01,18.13
2023-07-01,18.94
2023-08-01,19.34
2023-09-01,29.26
2023-10-01,33.22
2023-11-01,37.71
2023-12-01,42.47
2024-01-01,45.0
2024-02-01,45.0
2024-03-01,45.82
2024-04-01,51.43
2024-05-01,51.51
2024-06-01,50.77
2024-07-01,50.3
2024-08-01,50.0
2024-09-01,50.83
2024-10-01,50.0
2024-11-01,50.0
2024-12-01,48.59
2025-01-01,45.0
2025-02-01,44.79
2025-03-01,42.33
2025-04-01,46.0
2025-05-01,49.0
2025-06-01,46.21
2025-07-01,43.31
2025-08-01,42.85
2025-09-01,40.48
2025-10-01,39.15
