Tarih,TP_BEK_S06_B_A
2016-06-01,-36314.29
2016-07-01,-36414.47
2016-08-01,-36786.27
2016-09-01,-36794.75
2016-10-01,-37142.5
2016-11-01,-36573.77
2016-12-01,-36987.81
2017-01-01,-38483.33
2017-02-01,-37545.45
2017-03-01,-37977.59
2017-04-01,-37983.93
2017-05-01,-37769.81
2017-06-01,-38200.78
2017-07-01,-38890.0
2017-08-01,-38778.85
2017-09-01,-39254.24
2017-10-01,-40057.41
2017-11-01,-40479.1
2017-12-01,-41672.17
2018-01-01,-44622.03
2018-02-01,-46034.92
2018-03-01,-48261.02
2018-04-01,-49496.61
2018-05-01,-50622.22
2018-06-01,-49594.44
2018-07-01,-49543.14
2018-08-01,-45826.09
2018-09-01,-39094.44
2018-10-01,-31568.97
2018-11-01,-29789.47
2018-12-01,-26844.07
2019-01-01,-28034.36
2019-02-01,-28065.52
2019-03-01,-25853.0
2019-04-01,-23742.86
2019-05-01,-21586.79
2019-06-01,-18781.82
2019-07-01,-16911.76
2019-08-01,-15600.0
2019-09-01,-15946.4
2019-10-01,-12829.09
2019-11-01,-12000.3
2019-12-01,-13547.41
2020-01-01,-18316.67
2020-02-01,-19601.63
2020-03-01,-16422.92
2020-04-01,-15095.74
2020-05-01,-16914.29
2020-06-01,-17257.14
2020-07-01,-19597.87
2020-08-01,-20746.94
2020-09-01,-20213.04
2020-10-01,-21987.25
2020-11-01,-22112.24
2020-12-01,-22425.0
2021-01-01,-22260.78
2021-02-01,-22195.65
2021-03-01,-23447.06
2021-04-01,-22196.74
2021-05-01,-24048.57
2021-06-01,-22435.87
2021-07-01,-21308.89
2021-08-01,-21216.67
2021-09-01,-21542.22
2021-10-01,-21486.9
2021-11-01,-17936.25
2021-12-01,-11238.46
2022-01-01,-11510.81
2022-02-01,-11778.05
2022-03-01,-16430.77
2022-04-01,-19072.5
2022-05-01,-21179.17
2022-06-01,-23068.61
2022-07-01,-24360.81
2022-08-01,-25453.03
2022-09-01,-28853.03
2022-10-01,-29666.0
2022-11-01,-32029.78
2022-12-01,-30617.26
2023-01-01,-23581.12
2023-02-01,-21617.29
2023-03-01,-25894.12
2023-04-01,-25787.88
2023-05-01,-26057.81
2023-06-01,-24875.0
2023-07-01,-27030.88
2023-08-01,-29203.03
2023-09-01,-33837.14
2023-10-01,-35406.78
2023-11-01,-34561.4
2023-12-01,-33896.77
2024-01-01,-33346.48
2024-02-01,-32906.61
2024-03-01,-31695.0
2024-04-01,-30657.72
2024-05-01,-28744.44
2024-06-01,-28441.82
2024-07-01,-27502.45
2024-08-01,-26038.04
2024-09-01,-24658.15
2024-10-01,-24026.13
2024-11-01,-19751.58
2024-12-01,-17951.03
2025-01-01,-22524.63
2025-02-01,-24709.81
2025-03-01,-24974.15
2025-04-01,-24533.33
2025-05-01,-24294.0
2025-06-01,-24305.45
2025-07-01,-24968.08
2025-08-01,-25401.82
2025-09-01,-25447.37
2025-10-01,-25302.32
