Tarih,TP_BEK_S05_B_U
2016-10-01,3.1203
2016-11-01,3.3369
2016-12-01,3.4602
2017-01-01,3.8619
2017-02-01,3.8807
2017-03-01,3.8495
2017-04-01,3.8352
2017-05-01,3.8027
2017-06-01,3.7553
2017-07-01,3.7492
2017-08-01,3.7199
2017-09-01,3.6323
2017-10-01,3.7165
2017-11-01,3.8624
2017-12-01,3.8805
2018-01-01,4.1156
2018-02-01,4.097
2018-03-01,4.0975
2018-04-01,4.222
2018-05-01,4.4352
2018-06-01,4.5837
2018-07-01,4.8328
2018-08-01,5.9663
2018-09-01,6.5938
2018-10-01,5.9894
2018-11-01,5.6405
2018-12-01,5.4372
2019-01-01,6.1847
2019-02-01,5.9898
2019-03-01,6.0615
2019-04-01,6.203
2019-05-01,6.431
2019-06-01,6.3015
2019-07-01,6.1448
2019-08-01,5.9002
2019-09-01,5.9954
2019-10-01,6.0473
2019-11-01,5.9055
2019-12-01,5.8166
2020-01-01,6.4079
2020-02-01,6.4485
2020-03-01,6.5117
2020-04-01,6.9277
2020-05-01,7.018
2020-06-01,6.9922
2020-07-01,7.0188
2020-08-01,7.3428
2020-09-01,7.599
2020-10-01,7.8979
2020-11-01,7.8867
2020-12-01,7.7704
2021-01-01,8.0874
2021-02-01,7.7865
2021-03-01,7.9455
2021-04-01,8.5749
2021-05-01,8.7118
2021-06-01,8.9488
2021-07-01,8.991
2021-08-01,8.9431
2021-09-01,8.9184
2021-10-01,9.2195
2021-11-01,9.9785
2021-12-01,13.7719
2022-01-01,16.1348
2022-02-01,16.0431
2022-03-01,16.6774
2022-04-01,16.8481
2022-05-01,17.5682
2022-06-01,18.8874
2022-07-01,18.9881
2022-08-01,19.648
2022-09-01,19.5062
2022-10-01,19.8169
2022-11-01,19.5422
2022-12-01,18.7797
2023-01-01,23.1161
2023-02-01,22.8363
2023-03-01,22.9097
2023-04-01,23.1535
2023-05-01,23.086
2023-06-01,26.18
2023-07-01,28.456
2023-08-01,29.822
2023-09-01,30.1422
2023-10-01,30.0453
2023-11-01,29.9961
2023-12-01,29.6229
2024-01-01,39.9958
2024-02-01,40.0212
2024-03-01,40.5344
2024-04-01,40.0098
2024-05-01,38.7771
2024-06-01,37.7463
2024-07-01,37.3667
2024-08-01,37.276
2024-09-01,37.1599
2024-10-01,36.6347
2024-11-01,35.7205
2024-12-01,35.3011
2025-01-01,43.0265
2025-02-01,42.8869
2025-03-01,42.7907
2025-04-01,43.6025
2025-05-01,43.6984
2025-06-01,43.5731
2025-07-01,43.7219
2025-08-01,43.9571
2025-09-01,43.8544
2025-10-01,43.5632
