Tarih,TP_BEK_S01_E_B
2017-02-01,10.0
2017-03-01,10.52
2017-04-01,12.0
2017-05-01,11.5
2017-06-01,10.0
2017-07-01,10.0
2017-08-01,12.0
2017-09-01,11.2
2017-10-01,11.0
2017-11-01,11.0
2017-12-01,12.86
2018-01-01,11.6
2018-02-01,11.5
2018-03-01,11.0
2018-04-01,13.0
2018-05-01,12.0
2018-06-01,16.0
2018-07-01,18.0
2018-08-01,25.0
2018-09-01,25.0
2018-10-01,29.0
2018-11-01,24.0
2018-12-01,23.35
2019-01-01,23.0
2019-02-01,19.9
2019-03-01,19.8
2019-04-01,21.0
2019-05-01,19.5
2019-06-01,20.7
2019-07-01,18.7
2019-08-01,18.5
2019-09-01,17.2
2019-10-01,15.0
2019-11-01,13.0
2019-12-01,12.35
2020-01-01,12.57
2020-02-01,12.5
2020-03-01,12.35
2020-04-01,13.8
2020-05-01,12.2
2020-06-01,14.7
2020-07-01,13.2
2020-08-01,14.0
2020-09-01,14.3
2020-10-01,13.3
2020-11-01,13.3
2020-12-01,14.7
2021-01-01,13.88
2021-02-01,13.0
2021-03-01,13.0
2021-04-01,15.8
2021-05-01,16.1
2021-06-01,16.1
2021-07-01,16.2
2021-08-01,17.0
2021-09-01,17.0
2021-10-01,17.0
2021-11-01,20.0
2021-12-01,40.0
2022-01-01,48.0
2022-02-01,43.0
2022-03-01,55.0
2022-04-01,58.0
2022-05-01,67.0
2022-06-01,63.0
2022-07-01,64.75
2022-08-01,64.75
2022-09-01,54.75
2022-10-01,49.0
2022-11-01,59.5
2022-12-01,55.9
2023-01-01,55.9
2023-02-01,40.7
2023-03-01,45.0
2023-04-01,40.6
2023-05-01,40.5
2023-06-01,46.0
2023-07-01,51.1
2023-08-01,57.55
2023-09-01,64.0
2023-10-01,60.9
2023-11-01,55.43
2023-12-01,50.0
2024-01-01,47.97
2024-02-01,46.31
2024-03-01,44.4
2024-04-01,43.25
2024-05-01,42.0
2024-06-01,45.0
2024-07-01,42.33
2024-08-01,42.0
2024-09-01,37.0
2024-10-01,40.5
2024-11-01,33.2
2024-12-01,33.77
2025-01-01,34.0
2025-02-01,34.0
2025-03-01,29.5
2025-04-01,31.0
2025-05-01,31.0
2025-06-01,30.5
2025-07-01,28.5
2025-08-01,29.0
2025-09-01,27.82
2025-10-01,30.0
