Tarih,TP_BEK_S05_C_S
2016-10-01,0.1446
2016-11-01,0.1788
2016-12-01,0.1545
2017-01-01,0.2778
2017-02-01,0.248
2017-03-01,0.1826
2017-04-01,0.1948
2017-05-01,0.1916
2017-06-01,0.1642
2017-07-01,0.1657
2017-08-01,0.1355
2017-09-01,0.1465
2017-10-01,0.1446
2017-11-01,0.2231
2017-12-01,0.2014
2018-01-01,0.26
2018-02-01,0.21
2018-03-01,0.1857
2018-04-01,0.2541
2018-05-01,0.4278
2018-06-01,0.3248
2018-07-01,0.4159
2018-08-01,0.9846
2018-09-01,0.9716
2018-10-01,0.7713
2018-11-01,0.5829
2018-12-01,0.4072
2019-01-01,0.3791
2019-02-01,0.4603
2019-03-01,0.3991
2019-04-01,0.5333
2019-05-01,0.4881
2019-06-01,0.4141
2019-07-01,0.3114
2019-08-01,0.3191
2019-09-01,0.316
2019-10-01,0.2405
2019-11-01,0.2281
2019-12-01,0.1965
2020-01-01,0.1411
2020-02-01,0.1763
2020-03-01,0.2666
2020-04-01,0.5344
2020-05-01,0.4523
2020-06-01,0.3996
2020-07-01,0.3902
2020-08-01,0.4718
2020-09-01,0.4458
2020-10-01,0.3824
2020-11-01,0.5456
2020-12-01,0.4501
2021-01-01,0.4614
2021-02-01,0.4061
2021-03-01,0.4894
2021-04-01,0.5656
2021-05-01,0.5402
2021-06-01,0.5464
2021-07-01,0.5422
2021-08-01,0.5584
2021-09-01,0.4177
2021-10-01,0.4397
2021-11-01,0.644
2021-12-01,1.7642
2022-01-01,2.3061
2022-02-01,1.8382
2022-03-01,1.938
2022-04-01,1.7997
2022-05-01,2.2183
2022-06-01,3.0291
2022-07-01,3.0297
2022-08-01,3.0533
2022-09-01,2.6567
2022-10-01,2.478
2022-11-01,2.7907
2022-12-01,2.3425
2023-01-01,2.3923
2023-02-01,2.0497
2023-03-01,2.3878
2023-04-01,2.736
2023-05-01,3.0403
2023-06-01,3.246
2023-07-01,2.5725
2023-08-01,2.9361
2023-09-01,2.9647
2023-10-01,2.3924
2023-11-01,2.8622
2023-12-01,2.0956
2024-01-01,2.4529
2024-02-01,2.1787
2024-03-01,2.8065
2024-04-01,2.5649
2024-05-01,2.6401
2024-06-01,2.512
2024-07-01,2.1338
2024-08-01,2.1215
2024-09-01,1.8579
2024-10-01,1.9492
2024-11-01,1.6405
2024-12-01,2.4206
2025-01-01,1.5327
2025-02-01,1.1853
2025-03-01,1.3317
2025-04-01,1.4827
2025-05-01,1.6557
2025-06-01,1.5593
2025-07-01,1.7576
2025-08-01,1.8396
2025-09-01,1.4861
2025-10-01,1.6573
