Tarih,TP_BEK_S04_B_S
2017-02-01,0.48
2017-03-01,0.5
2017-04-01,0.48
2017-05-01,0.5
2017-06-01,0.38
2017-07-01,0.25
2017-08-01,0.21
2017-09-01,0.19
2017-10-01,0.2
2017-11-01,0.41
2017-12-01,1.11
2018-01-01,0.36
2018-02-01,0.13
2018-03-01,0.07
2018-04-01,1.09
2018-05-01,2.37
2018-06-01,0.61
2018-07-01,0.65
2018-08-01,2.46
2018-09-01,2.17
2018-10-01,1.54
2018-11-01,1.09
2018-12-01,0.87
2019-01-01,0.96
2019-02-01,0.94
2019-03-01,1.2
2019-04-01,1.1
2019-05-01,1.05
2019-06-01,1.04
2019-07-01,1.3
2019-08-01,1.11
2019-09-01,1.29
2019-10-01,1.07
2019-11-01,0.9
2019-12-01,0.84
2020-01-01,0.95
2020-02-01,0.56
2020-03-01,0.57
2020-04-01,0.62
2020-05-01,0.43
2020-06-01,0.35
2020-07-01,0.22
2020-08-01,1.04
2020-09-01,1.62
2020-10-01,1.34
2020-11-01,1.38
2020-12-01,0.95
2021-01-01,0.52
2021-02-01,0.52
2021-03-01,0.56
2021-04-01,0.91
2021-05-01,0.87
2021-06-01,0.76
2021-07-01,0.52
2021-08-01,0.58
2021-09-01,0.68
2021-10-01,0.88
2021-11-01,0.78
2021-12-01,2.75
2022-01-01,3.22
2022-02-01,2.56
2022-03-01,3.86
2022-04-01,3.78
2022-05-01,3.95
2022-06-01,2.5
2022-07-01,5.16
2022-08-01,5.83
2022-09-01,1.2
2022-10-01,1.17
2022-11-01,0.69
2022-12-01,0.44
2023-01-01,0.53
2023-02-01,1.0
2023-03-01,3.27
2023-04-01,7.02
2023-05-01,3.77
2023-06-01,6.42
2023-07-01,3.0
2023-08-01,2.52
2023-09-01,2.97
2023-10-01,2.99
2023-11-01,3.17
2023-12-01,3.17
2024-01-01,1.3
2024-02-01,1.39
2024-03-01,2.83
2024-04-01,2.27
2024-05-01,1.1
2024-06-01,1.21
2024-07-01,1.79
2024-08-01,1.97
2024-09-01,1.91
2024-10-01,1.63
2024-11-01,1.79
2024-12-01,1.83
2025-01-01,2.0
2025-02-01,0.73
2025-03-01,0.9
2025-04-01,1.94
2025-05-01,1.94
