Tarih,TP_BEK_S07_A_U
2017-02-01,2.87
2017-03-01,2.86
2017-04-01,3.01
2017-05-01,3.22
2017-06-01,3.43
2017-07-01,4.13
2017-08-01,4.4
2017-09-01,4.64
2017-10-01,5.16
2017-11-01,5.51
2017-12-01,5.71
2018-01-01,4.55
2018-02-01,4.56
2018-03-01,4.58
2018-04-01,4.68
2018-05-01,4.64
2018-06-01,4.17
2018-07-01,4.19
2018-08-01,3.86
2018-09-01,3.43
2018-10-01,3.2
2018-11-01,3.05
2018-12-01,3.04
2019-01-01,1.35
2019-02-01,1.24
2019-03-01,1.2
2019-04-01,0.59
2019-05-01,0.29
2019-06-01,0.04
2019-07-01,-0.02
2019-08-01,0.02
2019-09-01,0.01
2019-10-01,0.09
2019-11-01,0.29
2019-12-01,0.41
2020-01-01,3.36
2020-02-01,3.5
2020-03-01,3.33
2020-04-01,-0.6
2020-05-01,-1.25
2020-06-01,-1.33
2020-07-01,-1.32
2020-08-01,-1.56
2020-09-01,-1.48
2020-10-01,-0.83
2020-11-01,-0.55
2020-12-01,0.49
2021-01-01,3.91
2021-02-01,4.05
2021-03-01,4.42
2021-04-01,4.34
2021-05-01,4.32
2021-06-01,4.9
2021-07-01,5.75
2021-08-01,5.96
2021-09-01,8.23
2021-10-01,8.93
2021-11-01,9.19
2021-12-01,9.88
2022-01-01,3.69
2022-02-01,3.71
2022-03-01,3.38
2022-04-01,3.17
2022-05-01,3.33
2022-06-01,3.47
2022-07-01,3.63
2022-08-01,3.69
2022-09-01,4.77
2022-10-01,5.08
2022-11-01,5.12
2022-12-01,5.0
2023-01-01,4.1
2023-02-01,3.61
2023-03-01,3.45
2023-04-01,3.51
2023-05-01,3.66
2023-06-01,3.78
2023-07-01,3.73
2023-08-01,3.7
2023-09-01,3.92
2023-10-01,4.1
2023-11-01,4.12
2023-12-01,4.22
2024-01-01,3.35
2024-02-01,3.28
2024-03-01,3.32
2024-04-01,3.29
2024-05-01,3.32
2024-06-01,3.33
2024-07-01,3.37
2024-08-01,3.35
2024-09-01,3.19
2024-10-01,3.12
2024-11-01,3.07
2024-12-01,3.02
2025-01-01,3.06
2025-02-01,3.0
2025-03-01,3.14
2025-04-01,3.04
2025-05-01,2.93
2025-06-01,2.87
2025-07-01,2.89
2025-08-01,2.9
2025-09-01,3.19
2025-10-01,3.32
