Tarih,TP_BEK_S06_A_S
2016-10-01,1957.38
2016-11-01,1771.82
2016-12-01,1534.33
2017-01-01,4914.94
2017-02-01,3686.94
2017-03-01,3791.12
2017-04-01,3662.53
2017-05-01,3493.4
2017-06-01,2882.01
2017-07-01,2174.7
2017-08-01,2270.18
2017-09-01,2221.56
2017-10-01,2086.74
2017-11-01,2249.46
2017-12-01,2471.52
2018-01-01,3986.7
2018-02-01,5455.71
2018-03-01,5358.77
2018-04-01,4667.64
2018-05-01,5168.01
2018-06-01,4836.44
2018-07-01,5224.22
2018-08-01,6475.25
2018-09-01,6535.86
2018-10-01,6179.17
2018-11-01,5374.89
2018-12-01,5117.75
2019-01-01,8866.0
2019-02-01,7678.4
2019-03-01,7122.54
2019-04-01,6130.89
2019-05-01,5656.22
2019-06-01,5988.79
2019-07-01,5106.37
2019-08-01,4609.18
2019-09-01,4537.22
2019-10-01,3965.65
2019-11-01,3703.7
2019-12-01,3154.11
2020-01-01,5266.96
2020-02-01,5126.95
2020-03-01,5277.02
2020-04-01,8501.41
2020-05-01,5485.24
2020-06-01,5618.38
2020-07-01,6247.29
2020-08-01,5261.12
2020-09-01,7028.72
2020-10-01,6616.71
2020-11-01,5948.57
2020-12-01,5644.28
2021-01-01,8755.53
2021-02-01,7929.5
2021-03-01,7558.91
2021-04-01,6583.47
2021-05-01,6468.79
2021-06-01,5268.06
2021-07-01,4651.04
2021-08-01,5083.52
2021-09-01,4853.83
2021-10-01,3798.32
2021-11-01,4740.46
2021-12-01,3865.59
2022-01-01,8949.55
2022-02-01,7242.03
2022-03-01,9768.21
2022-04-01,8082.25
2022-05-01,8066.9
2022-06-01,7915.29
2022-07-01,6422.49
2022-08-01,6445.8
2022-09-01,5447.57
2022-10-01,5459.21
2022-11-01,2681.08
2022-12-01,2418.13
2023-01-01,8217.31
2023-02-01,5939.5
2023-03-01,7262.88
2023-04-01,6995.41
2023-05-01,7246.83
2023-06-01,6617.72
2023-07-01,6028.63
2023-08-01,5886.45
2023-09-01,3395.17
2023-10-01,3052.6
2023-11-01,3020.11
2023-12-01,3133.56
2024-01-01,5515.56
2024-02-01,5347.17
2024-03-01,5646.49
2024-04-01,5525.26
2024-05-01,4871.73
2024-06-01,4745.03
2024-07-01,4459.94
2024-08-01,5095.25
2024-09-01,4410.91
2024-10-01,4257.48
2024-11-01,5197.78
2024-12-01,3119.34
2025-01-01,5629.85
2025-02-01,4101.23
2025-03-01,3994.67
2025-04-01,3986.34
2025-05-01,2714.83
2025-06-01,2465.5
2025-07-01,2228.5
2025-08-01,2206.83
2025-09-01,2215.23
2025-10-01,2035.21
